"DayOfWeekStr","starttime","endtime","PermitLocation","optionaltext","ColdTruck","Applicant","Location"
"Saturday","12PM","1PM","Assessors Block 5598/Lot031","Burgers, melts, hot dogs, burritos,sandwiches, fries, onion rings, drinks","Y","Natan's Catering","(37.740303872806,-122.406059743494)"
"Saturday","7PM","8PM","Assessors Block 5598/Lot031","Burgers, melts, hot dogs, burritos,sandwiches, fries, onion rings, drinks","Y","Natan's Catering","(37.740303872806,-122.406059743494)"
"Saturday","6AM","7AM","Assessors Block 5598/Lot031","Burgers, melts, hot dogs, burritos,sandwiches, fries, onion rings, drinks","Y","Natan's Catering","(37.740303872806,-122.406059743494)"
"Saturday","11AM","12PM","Assessors Block 5598/Lot031","Burgers, melts, hot dogs, burritos,sandwiches, fries, onion rings, drinks","Y","Natan's Catering","(37.740303872806,-122.406059743494)"
"Saturday","7PM","8PM","Assessors Block 5598/Lot031","Burgers, melts, hot dogs, burritos,sandwiches, fries, onion rings, drinks","Y","Natan's Catering","(37.740303872806,-122.406059743494)"
"Saturday","12AM","1AM","Assessors Block 4046/Lot001","Burgers, melts, hot dogs, burritos,sandwiches, fries, onion rings, drinks","Y","Natan's Catering","(37.7620084580302,-122.385441811568)"
"Saturday","9AM","10AM","Assessors Block 4046/Lot001","Burgers, melts, hot dogs, burritos,sandwiches, fries, onion rings, drinks","Y","Natan's Catering","(37.7620084580302,-122.385441811568)"
"Saturday","12AM","1AM","Assessors Block 4046/Lot001","Burgers, melts, hot dogs, burritos,sandwiches, fries, onion rings, drinks","Y","Natan's Catering","(37.7620084580302,-122.385441811568)"
"Sunday","9AM","2PM","Assessors Block 8722/Lot005","Cold Truck: packaged sandwiches, snacks, candy, hot and cold drinks","Y","Mike's Catering","(37.7696400322177,-122.386236654199)"
"Sunday","9AM","10AM","Assessors Block 5369/Lot003","Burgers, melts, hot dogs, burritos,sandwiches, fries, onion rings, drinks","Y","Natan's Catering","(37.7381177715919,-122.404418467212)"
"Sunday","9AM","10AM","Assessors Block 5369/Lot003","Burgers, melts, hot dogs, burritos,sandwiches, fries, onion rings, drinks","Y","Natan's Catering","(37.7381177715919,-122.404418467212)"
"Sunday","9AM","10AM","Assessors Block 4281a/Lot012A","Burgers, melts, hot dogs, burritos,sandwiches, fries, onion rings, drinks","Y","Natan's Catering","(37.7507607694601,-122.401540291357)"
"Sunday","9AM","10AM","Assessors Block 4281a/Lot012A","Burgers, melts, hot dogs, burritos,sandwiches, fries, onion rings, drinks","Y","Natan's Catering","(37.7507607694601,-122.401540291357)"
"Sunday","11AM","12PM","Assessors Block 4281a/Lot012A","Burgers, melts, hot dogs, burritos,sandwiches, fries, onion rings, drinks","Y","Natan's Catering","(37.7507607694601,-122.401540291357)"
"Sunday","9AM","10AM","Assessors Block 8722/Lot001","Burgers, melts, hot dogs, burritos,sandwiches, fries, onion rings, drinks","Y","Natan's Catering","(37.7679955456856,-122.387549426547)"
"Sunday","11AM","2PM","Assessors Block 5598/Lot031","Burgers, melts, hot dogs, burritos,sandwiches, fries, onion rings, drinks","Y","Natan's Catering","(37.740303872806,-122.406059743494)"
"Sunday","9AM","10AM","Assessors Block 4046/Lot001","Burgers, melts, hot dogs, burritos,sandwiches, fries, onion rings, drinks","Y","Natan's Catering","(37.7620084580302,-122.385441811568)"
"Sunday","9AM","10AM","Assessors Block 8722/Lot003","Burgers, melts, hot dogs, burritos,sandwiches, fries, onion rings, drinks","Y","Natan's Catering","(37.7674330173312,-122.392149114172)"
"Sunday","11AM","2PM","Assessors Block 7295/Lot022","Burgers, melts, hot dogs, burritos,sandwiches, fries, onion rings, drinks","Y","Natan's Catering","(37.7300036831892,-122.478186325415)"
"Sunday","11AM","2PM","Assessors Block 7295/Lot022","Burgers, melts, hot dogs, burritos,sandwiches, fries, onion rings, drinks","Y","Natan's Catering","(37.7300036831892,-122.478186325415)"
"Sunday","1PM","2PM","Assessors Block 7295/Lot022","Burgers, melts, hot dogs, burritos,sandwiches, fries, onion rings, drinks","Y","Natan's Catering","(37.7300036831892,-122.478186325415)"
"Sunday","9AM","10AM","Assessors Block 4241/Lot002","Burgers, melts, hot dogs, burritos,sandwiches, fries, onion rings, drinks","Y","Natan's Catering","(37.7533400011811,-122.384128384237)"
"Sunday","9AM","10AM","Assessors Block 4241/Lot002","Burgers, melts, hot dogs, burritos,sandwiches, fries, onion rings, drinks","Y","Natan's Catering","(37.7533400011811,-122.384128384237)"
"Sunday","11AM","12PM","Assessors Block 4103/Lot023A","Burgers, melts, hot dogs, burritos,sandwiches, fries, onion rings, drinks","Y","Natan's Catering","(37.7583033956425,-122.393514054817)"
"Sunday","11AM","2PM","Assessors Block 4103/Lot023A","Burgers, melts, hot dogs, burritos,sandwiches, fries, onion rings, drinks","Y","Natan's Catering","(37.7583033956425,-122.393514054817)"
"Sunday","1PM","2PM","Assessors Block 4103/Lot023A","Burgers, melts, hot dogs, burritos,sandwiches, fries, onion rings, drinks","Y","Natan's Catering","(37.7583033956425,-122.393514054817)"
"Sunday","11AM","2PM","Assessors Block 4103/Lot023A","Burgers, melts, hot dogs, burritos,sandwiches, fries, onion rings, drinks","Y","Natan's Catering","(37.7583033956425,-122.393514054817)"
"Sunday","1PM","2PM","Assessors Block 4103/Lot023A","Burgers, melts, hot dogs, burritos,sandwiches, fries, onion rings, drinks","Y","Natan's Catering","(37.7583033956425,-122.393514054817)"
"Sunday","11AM","12PM","Assessors Block 4058/Lot010","Burgers, melts, hot dogs, burritos,sandwiches, fries, onion rings, drinks","Y","Natan's Catering","(37.7611829945051,-122.388118704077)"
"Sunday","9AM","10AM","Assessors Block 4058/Lot010","Burgers, melts, hot dogs, burritos,sandwiches, fries, onion rings, drinks","Y","Natan's Catering","(37.7611829945051,-122.388118704077)"
"Sunday","10AM","7PM","1709 REVERE AVE","Watermelon","N","Bob Johnson","(37.7325319595578,-122.391815933696)"
"Sunday","10AM","3PM","561 MISSION ST","Indian Style: BBQ, Variety of Curries, Rice, Wraps, Breads (Naan, Rotis, Parathas), Desserts, Pizza.  Beverages, Condiments, Indian Soups, Salads & Appetizer Varieties.","","Bombay Blvd.","(37.7885445211484,-122.399019231479)"
"Thursday","12PM","3AM","2601 MISSION ST","Soda, chips, energy drinks, hot dogs, bacon-wrapped hot dogs, fruit, corn","N","Julie's Hot Dogs","(37.7553930872542,-122.418673985373)"
"Thursday","11AM","3PM","1 SANSOME ST","Tacos, Burritos, Tortas, Quesadillas, Mexican Drinks, Aguas Frescas","N","Santana ESG, Inc.","(37.7902665460329,-122.400629258559)"
"Thursday","10AM","10PM","200 SHOTWELL ST","Tacos, Burritos, Tortas, Quesadillas, Mexican Drinks, Aguas Frescas","N","Santana ESG, Inc.","(37.7651967350509,-122.416451692902)"
"Thursday","7AM","7PM","999 DIVISADERO ST","Hot Dogs, Hamburgers, Nachos, Steaks, Pastas, Asian Dishes, Tri-Tip Sandwiches, Sodas & Water","N","Linda's Catering","(37.778714701469,-122.438629528705)"
"Thursday","1PM","3PM","1377 FELL ST","Cold Truck: Pre-packaged sandwiches, snacks, fruit, various beverages","Y","Liang Bai Ping","(37.7736321199408,-122.44051423368)"
"Thursday","1PM","2PM","3444 JENNINGS ST","Ice Cream, Pre-Packaged Chips, Candies, Bottled Water & Canned SODA","Y","Singh Brothers Ice Cream","(37.7186827082609,-122.396304347601)"
"Thursday","4PM","5PM","66 POTRERO AVE","Burgers, melts, hot dogs, burritos,sandwiches, fries, onion rings, drinks","Y","Natan's Catering","(37.7686648241945,-122.407903224274)"
"Thursday","10AM","11AM","1345 TURK ST","Cold Truck: packaged sandwiches, pitas, breakfast, cold and hot drinks, snacks","Y","Munch A Bunch","(37.7805621947803,-122.431189105466)"
"Thursday","10AM","3PM","290 TOWNSEND ST","Hot Dogs, Hamburgers, Nachos, Steaks, Pastas, Asian Dishes, Tri-Tip Sandwiches, Sodas & Water","N","Linda's Catering","(37.7773000262759,-122.394812784799)"
"Thursday","10AM","11AM","1455 BANCROFT AVE","Cold Truck: Cheeseburgers, Burgers, Chicken Bake, Chili Dogs, Hot Dogs, Corn Dogs, Cup of Noodles, Egg Muffins, Tamales, Hot Sandwiches Quesadillas, Gatorade, Juice, Soda, Mikl, Coffee, Hot Cocoa, Hot Tea, Flan, Fruits, Fruit Salad, Yogurt, Candy, Chips,  Donuts, Cookies, Granola, Muffins & Various Drinks & Pre-Packaged Snacks.","Y","Bach Catering","(37.7240189919943,-122.390118463974)"
"Thursday","10AM","11AM","2800 03RD ST","Cold Truck: Hot/Cold Sandwiches, Water, Soda, Juice, Snacks, Milk, Candies, Canned Food, Soups, Cup of Noodles, Fruit, Salad","Y","F & C Catering","(37.7541031367651,-122.387962966002)"
"Thursday","12PM","2PM","532 FOLSOM ST","Cold Truck: sandwiches, drinks, snacks, candy, hot coffee","Y","Sun Rise Catering","(37.7863927555352,-122.395726074077)"
"Thursday","10AM","11AM","3450 03RD ST","Cold Truck: Hamburger, cheeseburgers, hot dogs, hot sandwiches, cold sandwiches, egg muffins, cup of noodles, corn dogs, canned soup, coffee, hot cocoa, hot tea, gatorade, juice, milk, soda, water, fruits, fruit salad, rice pudding, yogurt, candy bars, chips, cookies, donuts, granola bars, muffins","Y","Park's Catering","(37.7456828142552,-122.387911761433)"
"Thursday","10AM","11AM","409 ILLINOIS ST","Cold Truck: Hot & Cold Sandwiches, Bagels, Burritos, Soups, Hot Dogs, Tacos, Pork Buns, BBQ Meat, Fruit, Various Beverages, Pasties, Pre-Packaged Snacks, Candy, Salads, Muffins, Scones, Brownies, Croissants, Energy Bars, Noodle Bowls","Y","Two G's Catering","(37.7667867792956,-122.388078331989)"
"Thursday","10AM","11AM","2000 FOLSOM ST","Cold Truck: Sandwiches, fruit, snacks, candy, hot and cold drinks","Y","May Catering","(37.7652922254458,-122.415375651896)"
"Thursday","1PM","2PM","1310 MINNESOTA ST","Cold Truck: packaged sandwiches, snacks, candy, hot and cold drinks","Y","Mike's Catering","(37.7538342401608,-122.389912147781)"
"Thursday","10AM","12PM","501 02ND ST","Hot Dogs, Hamburgers, Nachos, Steaks, Pastas, Asian Dishes, Tri-Tip Sandwiches, Sodas & Water","N","Linda's Catering","(37.7831088429738,-122.39355933746)"
"Thursday","10AM","3PM","253 DRUMM ST","St. Louis Style Ribs, Pulled Pork Sandwich, Smoked Brisket, Smoked Chicken Drumsticks, Spinach Salad, Cole Slaw, Baked Beans, Mashed Potatoes, Grilled Asparagus, Mac & Cheese, Potato Salad, Buttermil Pie, Soda, Water","N","Covered Dish Productions, LLC. dba. The Rib Whip","(37.795922726101,-122.396938330446)"
"Thursday","10AM","11AM","350 08TH ST","Cold Truck: Corn Dogs, Noodle Soups, Candy, Pre-packaged Snacks, Sandwiches, Chips, Coffee, Tea, Various Beverages","Y","Mini Mobile Food Catering","(37.7741429232436,-122.409095016264)"
"Thursday","10AM","11AM","525 PHELPS ST","Cold Truck: Hamburger, cheeseburgers, hot dogs, hot sandwiches, cold sandwiches, egg muffins, cup of noodles, corn dogs, canned soup, coffee, hot cocoa, hot tea, gatorade, juice, milk, soda, water, fruits, fruit salad, rice pudding, yogurt, candy bars, chips, cookies, donuts, granola bars, muffins","Y","Park's Catering","(37.7421620878271,-122.389107048701)"
"Thursday","10AM","11AM","1500 TENNESSEE ST","Cold Truck: Hot/Cold Sandwiches, Water, Soda, Juice, Snacks, Milk, Candies, Canned Food, Soups, Cup of Noodles, Fruit, Salad","Y","F & C Catering","(37.7523560542966,-122.388784980412)"
"Thursday","10AM","11AM","1477 GROVE ST","Cold Truck: Breakfast, Sandwiches, Salads, Pre-Packaged Snacks, Beverages","Y","BH & MT LLC","(37.7755007902079,-122.44089299009)"
"Thursday","10AM","11AM","3100 PACIFIC AVE","Cold Truck: Pre-packaged sandwiches, Chicken Bake, Canned Soup, Chili Dog, Corn Dog, Cup of Noodles, Egg Muffins, Hamburgers, Cheeseburgers, Hot Dog, Hot sandwiches, quesadillas, Beverages, Flan, Fruits, Yogurt, Candy, Cookies, Chips, Donuts, Snacks","Y","D & T Catering","(37.7919274798426,-122.446351899572)"
"Thursday","10AM","11AM","701 16TH ST","Cold Truck: Corn Dogs, Noodle Soups, Candy, Pre-packaged Snacks, Sandwiches, Chips, Coffee, Tea, Various Beverages","Y","Mini Mobile Food Catering","(37.7666322775493,-122.392728509584)"
"Thursday","11AM","12PM","740 VALENCIA ST","COLD TRUCK. Deli: bbq chicken skewer, Chinese spring roll, Chinese fried rice/noodle, fried chicken leg/wing, bbq chicken sandwich, chicken cheese burger, burrito, lumpia. Snack: sunflower seeds, muffins, chips, snickers, kit-kat, 10 types of chocolate. Drinks: Coke, 7-Up, Dr. Pepper, Pepsi, Redbull, Vitamin Water, Rockstar, Coconut Juice, Water. Hot drinks: coffee, tea.","Y","Mang Hang Catering","(37.7610350136584,-122.421584017938)"
"Thursday","11AM","12PM","1550 EVANS AVE","Cold Truck: Hot/Cold Sandwiches, Water, Soda, Juice, Snacks, Milk, Candies, Canned Food, Soups, Cup of Noodles, Fruit, Salad","Y","F & C Catering","(37.7425490595565,-122.387326932203)"
"Thursday","11AM","12PM","3255 03RD ST","Cold Truck: Sandwiches, Noodles,  Pre-packaged Snacks, Candy, Desserts Various Beverages","Y","Anas Goodies Catering","(37.748203685056,-122.387245352135)"
"Thursday","11AM","12PM","1090 26TH ST","Cold Truck: Sandwiches, Noodles,  Pre-packaged Snacks, Candy, Desserts Various Beverages","Y","Anas Goodies Catering","(37.7514511815096,-122.390465773031)"
"Thursday","11AM","12PM","1575 INDIANA ST","Cold Truck: Sandwiches, Noodles,  Pre-packaged Snacks, Candy, Desserts Various Beverages","Y","Anas Goodies Catering","(37.750453803667,-122.390398059007)"
"Thursday","12PM","1PM","2150 HARRISON ST","Cold Truck: Sandwiches, fruit, snacks, candy, hot and cold drinks","Y","May Catering","(37.7628501796944,-122.412966144746)"
"Thursday","12AM","5AM","1200 MISSISSIPPI ST","Cold Truck: sandwiches, corndogs, tacos, yogurt, snacks, candy, hot and cold drinks","Y","M M Catering","(37.7508581374316,-122.394102374471)"
"Thursday","12PM","1PM","1150 FRANCISCO ST","Cold Truck: Pre-packaged sandwiches, Chicken Bake, Canned Soup, Chili Dog, Corn Dog, Cup of Noodles, Egg Muffins, Hamburgers, Cheeseburgers, Hot Dog, Hot sandwiches, quesadillas, Beverages, Flan, Fruits, Yogurt, Candy, Cookies, Chips, Donuts, Snacks","Y","D & T Catering","(37.8033613224352,-122.424123509274)"
"Thursday","12PM","1PM","2200 OFARRELL ST","Cold Truck: Pre-packaged sandwiches, snacks, fruit, various beverages","Y","Liang Bai Ping","(37.7822802514051,-122.44098487304)"
"Thursday","7AM","8AM","1335 YOSEMITE AVE","Cold Truck: Pre-packaged sandwiches, snacks, fruit, various beverages","Y","Liang Bai Ping","(37.7239376882365,-122.386832585234)"
"Thursday","11AM","3PM","180 NEW MONTGOMERY ST","Tacos, burritos, quesadillas","N","Plaza Garibaldy","(37.7863630776208,-122.399264358097)"
"Thursday","2PM","3PM","1550 WALLACE AVE","Ice Cream, Pre-Packaged Chips, Candies, Bottled Water & Canned SODA","Y","Singh Brothers Ice Cream","(37.7270006086593,-122.390150411037)"
"Thursday","2PM","3PM","1830 HARRISON ST","Cold Truck: Soda,Chips,Candy, Cold/Hot Sandwiches, Donuts.  (Pitco Wholesale)","Y","John's Catering #5","(37.7679905171377,-122.413407603967)"
"Thursday","2PM","3PM","100 POTRERO AVE","Cold Truck: Sandwiches, fruit, snacks, candy, hot and cold drinks","Y","May Catering","(37.7683111651865,-122.40787860481)"
"Thursday","8AM","5PM","58 MAIN ST","Vietnamese sandwiches, spring rolls, bottle water, can soda, chicken and shrimp rice noodles, rice with chicken, chicken salad, noodle soup.","N","The Sandwich Stand, LLC.","(37.7923326412243,-122.395649033197)"
"Thursday","3PM","4PM","1207 SHAFTER AVE","Ice Cream, Pre-Packaged Chips, Candies, Bottled Water & Canned SODA","Y","Singh Brothers Ice Cream","(37.7268465488127,-122.383452238716)"
"Thursday","9AM","10AM","355 FREMONT ST","Cold Truck: Corn Dogs, Noodle Soups, Candy, Pre-packaged Snacks, Sandwiches, Chips, Coffee, Tea, Various Beverages","Y","Mini Mobile Food Catering","(37.7873606094505,-122.392701953926)"
"Thursday","5AM","6AM","2222 17TH ST","Cold Truck: packaged sandwiches, pitas, breakfast, cold and hot drinks, snacks","Y","Munch A Bunch","(37.7646466688009,-122.405701430585)"
"Thursday","6AM","7AM","560 MISSION ST","Cold Truck: Soda,Chips,Candy, Cold/Hot Sandwiches, Donuts.  (Pitco Wholesale)","Y","John's Catering #5","(37.788837572632,-122.398844308239)"
"Thursday","12PM","1PM","2890 03RD ST","Cold Truck: Hot/Cold Sandwiches, Water, Soda, Juice, Snacks, Milk, Candies, Canned Food, Soups, Cup of Noodles, Fruit, Salad","Y","F & C Catering","(37.7529521222808,-122.387906207247)"
"Thursday","11AM","3PM","170 OTIS ST","Cold Truck: Breakfast, Sandwiches, Salads, Pre-Packaged Snacks, Beverages","Y","BH & MT LLC","(37.7705678488858,-122.420273262356)"
"Thursday","6PM","7PM","350 MISSION ST","Cold Truck: Sandwiches, fruit, snacks, candy, hot and cold drinks","Y","May Catering","(37.7908392304258,-122.396308779248)"
"Thursday","9AM","10AM","2101 03RD ST","Burgers, melts, hot dogs, burritos,sandwiches, fries, onion rings, drinks","Y","Natan's Catering","(37.7630476291484,-122.388652881267)"
"Thursday","11AM","12PM","500 MASONIC AVE","COLD TRUCK. Deli: bbq chicken skewer, Chinese spring roll, Chinese fried rice/noodle, fried chicken leg/wing, bbq chicken sandwich, chicken cheese burger, burrito, lumpia. Snack: sunflower seeds, muffins, chips, snickers, kit-kat, 10 types of chocolate. Drinks: Coke, 7-Up, Dr. Pepper, Pepsi, Redbull, Vitamin Water, Rockstar, Coconut Juice, Water. Hot drinks: coffee, tea.","Y","Mang Hang Catering","(37.7767220798015,-122.446585903135)"
"Thursday","6AM","7AM","300 HOWARD ST","Cold Truck: Soda,Chips,Candy, Cold/Hot Sandwiches, Donuts.  (Pitco Wholesale)","Y","John's Catering #5","(37.7899443832691,-122.394351318954)"
"Thursday","6AM","7AM","300 BEALE ST","Cold Truck: Pre-packaged sandwiches, snacks, fruit, various beverages","Y","Liang Bai Ping","(37.7886109721909,-122.39272561329)"
"Thursday","10AM","11AM","750 02ND ST","Cold Truck: Pre-packaged sandwiches, Burgers, Hot Dogs, Muffin Sandwiches, Enchiladas, Bagels, Burritos, Salads, Snacks, Beverages","Y","Steve's Mobile Deli","(37.780188074444,-122.390098985325)"
"Thursday","7AM","8AM","1 THOMAS MORE WAY","COLD TRUCK. Deli: bbq chicken skewer, Chinese spring roll, Chinese fried rice/noodle, fried chicken leg/wing, bbq chicken sandwich, chicken cheese burger, burrito, lumpia. Snack: sunflower seeds, muffins, chips, snickers, kit-kat, 10 types of chocolate. Drinks: Coke, 7-Up, Dr. Pepper, Pepsi, Redbull, Vitamin Water, Rockstar, Coconut Juice, Water. Hot drinks: coffee, tea.","Y","Mang Hang Catering","(37.7128718139384,-122.472687037509)"
"Thursday","10AM","11AM","690 MISSION ST","COLD TRUCK. Deli: bbq chicken skewer, Chinese spring roll, Chinese fried rice/noodle, fried chicken leg/wing, bbq chicken sandwich, chicken cheese burger, burrito, lumpia. Snack: sunflower seeds, muffins, chips, snickers, kit-kat, 10 types of chocolate. Drinks: Coke, 7-Up, Dr. Pepper, Pepsi, Redbull, Vitamin Water, Rockstar, Coconut Juice, Water. Hot drinks: coffee, tea.","Y","Mang Hang Catering","(37.786447007962,-122.40187181337)"
"Thursday","12PM","1PM","690 MISSION ST","COLD TRUCK. Deli: bbq chicken skewer, Chinese spring roll, Chinese fried rice/noodle, fried chicken leg/wing, bbq chicken sandwich, chicken cheese burger, burrito, lumpia. Snack: sunflower seeds, muffins, chips, snickers, kit-kat, 10 types of chocolate. Drinks: Coke, 7-Up, Dr. Pepper, Pepsi, Redbull, Vitamin Water, Rockstar, Coconut Juice, Water. Hot drinks: coffee, tea.","Y","Mang Hang Catering","(37.786447007962,-122.40187181337)"
"Thursday","7AM","8AM","2085 03RD ST","Cold Truck: Sandwiches, Noodles,  Pre-packaged Snacks, Candy, Desserts Various Beverages","Y","Anas Goodies Catering","(37.7632543608742,-122.388619641722)"
"Thursday","7AM","8AM","175 BLUXOME ST","Cold Truck: Pre-packaged sandwiches, Burgers, Hot Dogs, Muffin Sandwiches, Enchiladas, Bagels, Burritos, Salads, Snacks, Beverages","Y","Steve's Mobile Deli","(37.7746102279804,-122.399580294284)"
"Thursday","7AM","9AM","1575 INDIANA ST","Cold Truck: packaged sandwiches, snacks, candy, hot and cold drinks","Y","Mike's Catering","(37.750453803667,-122.390398059007)"
"Thursday","7AM","8AM","1347 DONNER AVE","Cold Truck: Sandwiches, Noodles,  Pre-packaged Snacks, Candy, Desserts Various Beverages","Y","Anas Goodies Catering","(37.7216250971345,-122.389245172961)"
"Thursday","7AM","8AM","1801 EVANS AVE","Cold Truck: Hamburger, cheeseburgers, hot dogs, hot sandwiches, cold sandwiches, egg muffins, cup of noodles, corn dogs, canned soup, coffee, hot cocoa, hot tea, gatorade, juice, milk, soda, water, fruits, fruit salad, rice pudding, yogurt, candy bars, chips, cookies, donuts, granola bars, muffins","Y","Park's Catering","(37.745078648302,-122.392261844141)"
"Thursday","9AM","10AM","1212 THOMAS AVE","Cold Truck: Pre-packaged sandwiches, snacks, fruit, various beverages","Y","Liang Bai Ping","(37.7263696196635,-122.384041765309)"
"Thursday","8AM","9AM","250 NAPOLEON ST","Cold Truck: Hamburger, cheeseburgers, hot dogs, hot sandwiches, cold sandwiches, egg muffins, cup of noodles, corn dogs, canned soup, coffee, hot cocoa, hot tea, gatorade, juice, milk, soda, water, fruits, fruit salad, rice pudding, yogurt, candy bars, chips, cookies, donuts, granola bars, muffins","Y","Park's Catering","(37.7465113997359,-122.400554729715)"
"Thursday","12PM","1PM","1370 VAN DYKE AVE","Cold Truck: Pre-packaged sandwiches, snacks, fruit, various beverages","Y","Liang Bai Ping","(37.7267728572176,-122.388073576343)"
"Thursday","8PM","9PM","667 MISSION ST","Cold Truck: sandwiches, corndogs, tacos, yogurt, snacks, candy, hot and cold drinks","Y","M M Catering","(37.7867316299939,-122.401315378613)"
"Thursday","8AM","9AM","2270 JERROLD AVE","Cold Truck: Sandwiches, fruit, snacks, candy, hot and cold drinks","Y","May Catering","(37.7455819612317,-122.401251043957)"
"Thursday","11AM","12PM","1400 MINNESOTA ST","Cold Truck: Sandwiches, Noodles,  Pre-packaged Snacks, Candy, Desserts Various Beverages","Y","Anas Goodies Catering","(37.7522353219293,-122.38975002217)"
"Thursday","8AM","9AM","2020 EVANS AVE","Cold Truck: Hamburger, cheeseburgers, hot dogs, hot sandwiches, cold sandwiches, egg muffins, cup of noodles, corn dogs, canned soup, coffee, hot cocoa, hot tea, gatorade, juice, milk, soda, water, fruits, fruit salad, rice pudding, yogurt, candy bars, chips, cookies, donuts, granola bars, muffins","Y","Park's Catering","(37.7474780240452,-122.396175096381)"
"Thursday","8AM","9AM","617 BRYANT ST","Hot Dogs, Hamburgers, Nachos, Steaks, Pastas, Asian Dishes, Tri-Tip Sandwiches, Sodas & Water","N","Linda's Catering","(37.7792036135615,-122.398421700749)"
"Thursday","8AM","9AM","975 INDIANA ST","Cold Truck: Hot & Cold Sandwiches, Bagels, Burritos, Soups, Hot Dogs, Tacos, Pork Buns, BBQ Meat, Fruit, Various Beverages, Pasties, Pre-Packaged Snacks, Candy, Salads, Muffins, Scones, Brownies, Croissants, Energy Bars, Noodle Bowls","Y","Two G's Catering","(37.7581452995887,-122.391140229024)"
"Thursday","8AM","9AM","355 07TH ST","Cold Truck: packaged sandwiches, pitas, breakfast, cold and hot drinks, snacks","Y","Munch A Bunch","(37.7760883582323,-122.406918921639)"
"Thursday","8AM","9AM","1515 GRIFFITH ST","Cold Truck: Pre-packaged sandwiches, snacks, fruit, various beverages","Y","Liang Bai Ping","(37.7256013829105,-122.38141316378)"
"Thursday","8AM","10AM","1000 EVANS AVE","Cold Truck: Hot/Cold Sandwiches, Water, Soda, Juice, Snacks, Milk, Candies, Canned Food, Soups, Cup of Noodles, Fruit, Salad","Y","F & C Catering","(37.7365999870093,-122.377204056226)"
"Thursday","11AM","12PM","3150 03RD ST","Cold Truck: Sandwiches, Noodles,  Pre-packaged Snacks, Candy, Desserts Various Beverages","Y","Anas Goodies Catering","(37.7496175291101,-122.387588501326)"
"Thursday","8AM","9AM","1580 BURKE AVE","Burgers, melts, hot dogs, burritos,sandwiches, fries, onion rings, drinks","Y","Natan's Catering","(37.7448503261018,-122.386622994805)"
"Thursday","9AM","10AM","1265 GROVE ST","Cold Truck: Breakfast, Sandwiches, Salads, Pre-Packaged Snacks, Beverages","Y","BH & MT LLC","(37.7759468088778,-122.437383577606)"
"Thursday","9AM","10AM","250 BROADWAY","Cold Truck: packaged sandwiches, snacks, candy, hot and cold drinks","Y","Mike's Catering","(37.7985576514587,-122.401662259543)"
"Thursday","9AM","10AM","2940 PACIFIC AVE","Cold Truck: Pre-packaged sandwiches, Chicken Bake, Canned Soup, Chili Dog, Corn Dog, Cup of Noodles, Egg Muffins, Hamburgers, Cheeseburgers, Hot Dog, Hot sandwiches, quesadillas, Beverages, Flan, Fruits, Yogurt, Candy, Cookies, Chips, Donuts, Snacks","Y","D & T Catering","(37.79226517009,-122.443698807802)"
"Thursday","9AM","10AM","1337 VAN DYKE AVE","Cold Truck: Pre-packaged sandwiches, snacks, fruit, various beverages","Y","Liang Bai Ping","(37.7263381578801,-122.387543034105)"
"Thursday","9AM","10AM","900 07TH ST","Cold Truck: Hot/Cold Sandwiches, Water, Soda, Juice, Snacks, Milk, Candies, Canned Food, Soups, Cup of Noodles, Fruit, Salad","Y","F & C Catering","(37.7704529501655,-122.400042655595)"
"Thursday","9AM","10AM","71 WILLIAMS AVE","Cold Truck: Hot & Cold Sandwiches, Bagels, Burritos, Soups, Hot Dogs, Tacos, Pork Buns, BBQ Meat, Fruit, Various Beverages, Pasties, Pre-Packaged Snacks, Candy, Salads, Muffins, Scones, Brownies, Croissants, Energy Bars, Noodle Bowls","Y","Two G's Catering","(37.729483926788,-122.394571014085)"
"Thursday","12PM","1PM","400 ALABAMA ST","Cold Truck: sandwiches, corndogs, tacos, yogurt, snacks, candy, hot and cold drinks","Y","M M Catering","(37.7641509499715,-122.412358791534)"
"Thursday","9AM","10AM","146 CONNECTICUT ST","Burgers, melts, hot dogs, burritos,sandwiches, fries, onion rings, drinks","Y","Natan's Catering","(37.7644655822132,-122.397747616123)"
"Thursday","9AM","10AM","640 NATOMA ST","Cold Truck: sandwiches, drinks, snacks, candy, hot coffee","Y","Sun Rise Catering","(37.7777290650886,-122.410905331989)"
"Thursday","9AM","10AM","3000 23RD ST","Cold Truck: Sandwiches, fruit, snacks, candy, hot and cold drinks","Y","May Catering","(37.754283115204,-122.412085299034)"
"Thursday","9AM","10AM","1450 DONNER AVE","Cold Truck: Pre-packaged sandwiches, snacks, fruit, various beverages","Y","Liang Bai Ping","(37.7228143678148,-122.391102685187)"
"Thursday","12PM","1PM","145 KING ST","Cold Truck: Pre-packaged sandwiches, Burgers, Hot Dogs, Muffin Sandwiches, Enchiladas, Bagels, Burritos, Salads, Snacks, Beverages","Y","Steve's Mobile Deli","(37.7789161780122,-122.390426395944)"
"Thursday","9AM","10AM","435 23RD ST","Cold Truck: packaged sandwiches, snacks, candy, hot and cold drinks","Y","Mike's Catering","(37.7555059783625,-122.385220879126)"
"Thursday","9AM","10AM","133 SHIPLEY ST","Cold Truck: Sandwiches, Noodles,  Pre-packaged Snacks, Candy, Desserts Various Beverages","Y","Anas Goodies Catering","(37.7809559961514,-122.401314818991)"
