"player","games_played","minutes","field_goals_made","field_goals_atts","field_goals_perc","points3_made","points3_atts","points3_perc","points2_made","points2_atts","points2_perc","points1_made","points1_atts","points1_perc","off_rebounds","def_rebounds","assists","steals","blocks","turnovers","fouls"
"Klay Thompson",78,2649,644,1376,0.468,268,647,0.414,376,729,0.516,186,218,0.853,49,236,160,66,40,128,139
"Matt Barnes",20,410,38,90,0.422,18,52,0.346,20,38,0.526,20,23,0.87,15,76,45,12,9,24,47
"Patrick McCaw",71,1074,106,245,0.433,41,123,0.333,65,122,0.533,29,37,0.784,22,79,77,32,15,36,62
"Shaun Livingston",76,1345,173,316,0.547,1,3,0.333,172,313,0.55,42,60,0.7,28,123,139,38,20,61,120
"Stephen Curry",79,2638,675,1443,0.468,324,789,0.411,351,654,0.537,325,362,0.898,61,292,523,143,17,239,183
"Zaza Pachulia",70,1268,164,307,0.534,0,2,0,164,305,0.538,98,126,0.778,140,270,132,59,33,88,166
"Bryn Forbes",36,285,36,99,0.364,17,53,0.321,19,46,0.413,5,6,0.833,2,21,23,1,0,11,20
"Danny Green",68,1807,176,449,0.392,118,311,0.379,58,138,0.42,27,32,0.844,31,193,124,71,58,76,120
"David Lee",79,1477,248,420,0.59,0,0,NA,248,420,0.59,80,113,0.708,148,292,124,31,40,82,125
"Davis Bertans",67,808,103,234,0.44,69,173,0.399,34,61,0.557,28,34,0.824,22,77,46,20,28,32,75
"Dejounte Murray",38,322,50,116,0.431,9,23,0.391,41,93,0.441,21,30,0.7,6,36,48,8,6,38,29
"Dewayne Dedmon",76,1330,161,259,0.622,0,0,NA,161,259,0.622,65,93,0.699,129,366,44,37,61,61,180
"Joel Anthony",19,122,10,16,0.625,0,0,NA,10,16,0.625,5,8,0.625,8,23,3,2,6,4,11
"Jonathon Simmons",78,1392,177,421,0.42,30,102,0.294,147,319,0.461,99,132,0.75,20,140,126,47,25,76,146
"Kawhi Leonard",74,2474,636,1311,0.485,147,386,0.381,489,925,0.529,469,533,0.88,80,350,260,132,55,154,122
"Kyle Anderson",72,1020,93,209,0.445,15,40,0.375,78,169,0.462,45,57,0.789,33,175,91,51,26,39,63
"LaMarcus Aldridge",72,2335,500,1049,0.477,23,56,0.411,477,993,0.48,220,271,0.812,174,350,139,46,89,98,158
"Manu Ginobili",69,1291,171,439,0.39,89,227,0.392,82,212,0.387,86,107,0.804,28,129,183,82,16,96,119
"Patty Mills",80,1754,273,622,0.439,147,356,0.413,126,266,0.474,66,80,0.825,24,118,280,65,3,101,109
"Pau Gasol",64,1627,303,604,0.502,56,104,0.538,247,500,0.494,130,184,0.707,107,394,150,24,70,81,110
"Tony Parker",63,1587,265,569,0.466,23,69,0.333,242,500,0.484,85,117,0.726,9,104,285,33,2,89,92
"Bobby Brown",25,123,23,60,0.383,14,35,0.4,9,25,0.36,2,2,1,0,6,14,1,0,5,5
"Chinanu Onuaku",5,52,5,7,0.714,0,0,NA,5,7,0.714,4,4,1,2,8,3,3,1,4,6
"Clint Capela",65,1551,362,563,0.643,0,0,NA,362,563,0.643,94,177,0.531,178,348,64,34,80,87,179
"Eric Gordon",75,2323,412,1016,0.406,246,661,0.372,166,355,0.468,147,175,0.84,29,172,188,48,40,121,150
"Isaiah Taylor",4,52,1,7,0.143,0,2,0,1,5,0.2,1,2,0.5,1,2,3,1,1,0,6
"James Harden",81,2947,674,1533,0.44,262,756,0.347,412,777,0.53,746,881,0.847,95,564,906,120,37,464,215
"Kyle Wiltjer",14,44,4,14,0.286,4,13,0.308,0,1,0,1,2,0.5,4,6,2,3,1,5,4
"Lou Williams",23,591,102,264,0.386,41,129,0.318,61,135,0.452,98,113,0.867,12,58,56,15,9,40,25
"Montrezl Harrell",58,1064,225,345,0.652,1,7,0.143,224,338,0.663,76,121,0.628,81,138,64,20,42,44,126
"Patrick Beverley",67,2058,228,543,0.42,110,288,0.382,118,255,0.463,73,95,0.768,95,299,281,99,25,100,222
"Ryan Anderson",72,2116,323,773,0.418,204,506,0.403,119,267,0.446,129,150,0.86,112,218,68,32,14,55,142
"Sam Dekker",77,1419,203,429,0.473,60,187,0.321,143,242,0.591,38,68,0.559,94,190,76,38,21,41,83
"Trevor Ariza",80,2773,326,798,0.409,191,555,0.344,135,243,0.556,93,126,0.738,54,405,175,147,20,74,133
"Troy Williams",6,139,22,44,0.5,8,21,0.381,14,23,0.609,6,7,0.857,9,15,6,3,1,6,18
"Alan Anderson",30,308,30,80,0.375,14,44,0.318,16,36,0.444,12,16,0.75,3,21,11,3,0,7,35
"Austin Rivers",74,2054,323,731,0.442,111,299,0.371,212,432,0.491,132,191,0.691,20,141,204,48,10,115,187
"Blake Griffin",61,2076,479,971,0.493,38,113,0.336,441,858,0.514,320,421,0.76,111,385,300,58,23,142,157
"Brandon Bass",52,577,107,186,0.575,1,3,0.333,106,183,0.579,77,88,0.875,43,86,21,14,11,29,45
"Brice Johnson",3,9,2,7,0.286,0,0,NA,2,7,0.286,0,0,NA,1,2,1,2,1,1,0
"Chris Paul",61,1921,374,785,0.476,124,302,0.411,250,483,0.518,232,260,0.892,41,263,563,118,8,147,146
"DeAndre Jordan",81,2570,412,577,0.714,0,2,0,412,575,0.717,205,425,0.482,297,817,96,52,135,116,212
"Diamond Stone",7,24,3,13,0.231,0,0,NA,3,13,0.231,4,4,1,1,5,0,0,1,2,5
"J.J. Redick",78,2198,396,890,0.445,201,468,0.429,195,422,0.462,180,202,0.891,11,160,110,55,13,98,125
"Jamal Crawford",82,2157,359,869,0.413,116,322,0.36,243,547,0.444,174,203,0.857,17,112,213,59,14,134,115
"Luc Mbah a Moute",80,1787,191,378,0.505,43,110,0.391,148,268,0.552,59,87,0.678,47,127,39,81,35,47,122
"Marreese Speights",82,1286,244,548,0.445,103,277,0.372,141,271,0.52,120,137,0.876,88,285,66,23,41,69,229
"Paul Pierce",25,277,28,70,0.4,15,43,0.349,13,27,0.481,10,13,0.769,1,47,10,4,5,16,40
"Raymond Felton",80,1700,221,514,0.43,46,144,0.319,175,370,0.473,50,64,0.781,33,184,191,67,22,83,125
"Wesley Johnson",68,810,73,200,0.365,29,118,0.246,44,82,0.537,11,17,0.647,26,155,23,29,30,18,83
"Alec Burks",42,653,99,248,0.399,25,76,0.329,74,172,0.43,60,78,0.769,17,103,30,18,5,35,50
"Boris Diaw",73,1283,146,327,0.446,20,81,0.247,126,246,0.512,26,35,0.743,46,112,170,18,9,87,83
"Dante Exum",66,1228,155,364,0.426,44,149,0.295,111,215,0.516,58,73,0.795,30,102,112,21,12,80,146
"Derrick Favors",50,1186,203,417,0.487,3,10,0.3,200,407,0.491,67,109,0.615,92,213,56,45,40,60,103
"George Hill",49,1544,289,606,0.477,94,233,0.403,195,373,0.523,157,196,0.801,23,144,203,50,11,85,114
"Gordon Hayward",73,2516,545,1156,0.471,149,374,0.398,396,782,0.506,362,429,0.844,49,344,252,73,20,140,117
"Jeff Withey",51,432,55,103,0.534,0,1,0,55,102,0.539,36,48,0.75,52,69,7,16,32,14,52
"Joe Ingles",82,1972,204,451,0.452,123,279,0.441,81,172,0.471,50,68,0.735,23,237,224,96,8,107,163
"Joe Johnson",78,1843,273,626,0.436,106,258,0.411,167,368,0.454,63,77,0.818,33,209,144,35,18,69,93
"Joel Bolomboy",12,53,9,16,0.563,1,4,0.25,8,12,0.667,3,6,0.5,4,13,2,1,2,2,1
"Raul Neto",40,346,41,91,0.451,10,31,0.323,31,60,0.517,8,9,0.889,4,26,34,21,5,15,48
"Rodney Hood",59,1593,272,666,0.408,114,306,0.373,158,360,0.439,90,115,0.783,16,186,96,39,11,65,132
"Rudy Gobert",81,2744,413,623,0.663,0,1,0,413,622,0.664,311,476,0.653,314,721,97,49,214,148,246
"Shelvin Mack",55,1205,170,381,0.446,37,120,0.308,133,261,0.51,53,77,0.688,20,108,154,42,3,90,100
"Trey Lyles",71,1158,159,439,0.362,65,204,0.319,94,235,0.4,57,79,0.722,48,187,70,26,20,64,97
"Alex Abrines",68,1055,134,341,0.393,94,247,0.381,40,94,0.426,44,49,0.898,18,68,40,37,8,33,114
"Andre Roberson",79,2376,215,463,0.464,45,184,0.245,170,279,0.609,47,111,0.423,98,304,79,94,79,51,204
"Domantas Sabonis",81,1632,192,481,0.399,51,159,0.321,141,322,0.438,44,67,0.657,45,242,82,39,32,83,200
"Doug McDermott",22,430,56,124,0.452,21,58,0.362,35,66,0.53,12,17,0.706,6,43,13,2,1,6,22
"Enes Kanter",72,1533,402,737,0.545,5,38,0.132,397,699,0.568,224,285,0.786,195,287,67,32,38,123,154
"Jerami Grant",78,1490,146,311,0.469,43,114,0.377,103,197,0.523,86,139,0.619,38,161,46,33,75,41,144
"Josh Huestis",2,31,6,11,0.545,2,4,0.5,4,7,0.571,0,1,0,4,5,3,0,3,0,0
"Kyle Singler",32,385,34,83,0.41,7,37,0.189,27,46,0.587,13,17,0.765,8,40,9,7,5,11,29
"Nick Collison",20,128,14,23,0.609,0,1,0,14,22,0.636,5,8,0.625,9,21,12,2,2,4,17
"Norris Cole",13,125,16,52,0.308,3,13,0.231,13,39,0.333,8,10,0.8,0,11,14,8,0,7,18
"Russell Westbrook",81,2802,824,1941,0.425,200,583,0.343,624,1358,0.459,710,840,0.845,137,727,840,133,31,438,190
"Semaj Christon",64,973,77,223,0.345,12,63,0.19,65,160,0.406,17,31,0.548,19,69,130,28,6,43,79
"Steven Adams",80,2389,374,655,0.571,0,1,0,374,654,0.572,157,257,0.611,282,333,86,88,78,146,195
"Taj Gibson",23,487,89,179,0.497,1,1,1,88,178,0.494,28,39,0.718,38,65,13,14,15,28,40
"Victor Oladipo",67,2222,412,932,0.442,127,352,0.361,285,580,0.491,116,154,0.753,39,252,176,78,21,119,155
"Andrew Harrison",72,1474,117,360,0.325,43,156,0.276,74,204,0.363,148,194,0.763,23,113,198,54,20,85,194
"Brandan Wright",28,447,83,135,0.615,0,1,0,83,134,0.619,23,35,0.657,31,47,15,11,20,10,42
"Chandler Parsons",34,675,75,222,0.338,25,93,0.269,50,129,0.388,35,43,0.814,6,78,55,20,5,24,52
"Deyonta Davis",36,238,24,47,0.511,0,0,NA,24,47,0.511,10,18,0.556,20,40,2,3,17,8,40
"James Ennis",64,1501,146,321,0.455,51,137,0.372,95,184,0.516,86,110,0.782,69,190,64,46,19,59,165
"JaMychal Green",77,2101,250,500,0.5,55,145,0.379,195,355,0.549,134,167,0.802,167,377,84,46,34,94,248
"Jarell Martin",42,558,58,151,0.384,9,25,0.36,49,126,0.389,40,50,0.8,42,120,8,17,9,28,91
"Marc Gasol",74,2531,532,1160,0.459,104,268,0.388,428,892,0.48,278,332,0.837,60,402,338,67,99,166,171
"Mike Conley",69,2292,464,1009,0.46,171,419,0.408,293,590,0.497,316,368,0.859,31,211,433,92,19,156,126
"Tony Allen",71,1914,274,595,0.461,15,54,0.278,259,541,0.479,80,130,0.615,166,225,98,115,29,100,178
"Troy Daniels",67,1183,185,495,0.374,138,355,0.389,47,140,0.336,43,54,0.796,21,79,46,21,4,45,90
"Vince Carter",73,1799,193,490,0.394,112,296,0.378,81,194,0.418,88,115,0.765,36,191,133,60,36,50,163
"Wade Baldwin",33,405,36,115,0.313,3,22,0.136,33,93,0.355,31,37,0.838,11,35,61,18,7,40,40
"Wayne Selden",11,189,20,50,0.4,3,21,0.143,17,29,0.586,12,18,0.667,1,10,12,4,1,9,12
"Zach Randolph",73,1786,433,964,0.449,21,94,0.223,412,870,0.474,141,193,0.731,182,416,122,38,10,99,136
"Al-Farouq Aminu",61,1773,183,466,0.393,70,212,0.33,113,254,0.445,96,136,0.706,77,374,99,60,44,94,102
"Allen Crabbe",79,2254,303,647,0.468,134,302,0.444,169,345,0.49,105,124,0.847,19,206,93,54,20,62,171
"C.J. McCollum",80,2796,692,1441,0.48,185,440,0.42,507,1001,0.506,268,294,0.912,60,231,285,72,42,172,202
"Damian Lillard",75,2694,661,1488,0.444,214,578,0.37,447,910,0.491,488,545,0.895,46,322,439,68,20,197,152
"Ed Davis",46,789,75,142,0.528,0,0,NA,75,142,0.528,50,81,0.617,96,147,27,15,22,37,137
"Evan Turner",65,1658,235,552,0.426,31,118,0.263,204,434,0.47,85,103,0.825,36,211,205,53,24,100,121
"Jake Layman",35,249,26,89,0.292,13,51,0.255,13,38,0.342,13,17,0.765,6,18,11,9,3,11,22
"Jusuf Nurkic",20,584,120,236,0.508,0,1,0,120,235,0.511,64,97,0.66,65,142,63,25,38,62,73
"Maurice Harkless",77,2223,314,624,0.503,68,194,0.351,246,430,0.572,77,124,0.621,125,216,89,85,70,85,214
"Meyers Leonard",74,1222,146,378,0.386,74,213,0.347,72,165,0.436,35,40,0.875,27,209,71,13,28,35,172
"Noah Vonleh",74,1265,130,270,0.481,7,20,0.35,123,250,0.492,60,94,0.638,131,256,31,30,27,64,154
"Pat Connaughton",39,316,37,72,0.514,17,33,0.515,20,39,0.513,7,9,0.778,10,42,28,6,2,17,23
"Shabazz Napier",53,512,73,183,0.399,34,92,0.37,39,91,0.429,38,49,0.776,8,53,67,32,2,41,38
"Tim Quarterman",16,80,13,29,0.448,5,13,0.385,8,16,0.5,0,3,0,4,10,11,2,3,11,6
"Danilo Gallinari",63,2134,335,750,0.447,126,325,0.388,209,425,0.492,349,387,0.902,39,287,136,41,15,81,93
"Darrell Arthur",41,639,95,215,0.442,53,117,0.453,42,98,0.429,19,22,0.864,25,87,42,19,21,36,76
"Emmanuel Mudiay",55,1406,208,551,0.377,56,177,0.316,152,374,0.406,131,167,0.784,30,150,217,41,13,123,95
"Gary Harris",57,1782,320,636,0.503,107,255,0.42,213,381,0.559,104,134,0.776,48,130,164,71,8,76,92
"Jamal Murray",82,1764,295,729,0.405,115,344,0.334,180,385,0.468,106,120,0.883,41,173,170,53,24,113,124
"Jameer Nelson",75,2045,268,604,0.444,106,273,0.388,162,331,0.489,45,63,0.714,28,164,385,53,8,129,197
"Juan Hernangomez",62,842,101,223,0.453,46,112,0.411,55,111,0.495,57,76,0.75,43,144,29,29,12,31,62
"Kenneth Faried",61,1296,228,415,0.549,0,6,0,228,409,0.557,131,189,0.693,180,279,55,43,40,58,124
"Malik Beasley",22,165,33,73,0.452,9,28,0.321,24,45,0.533,8,10,0.8,5,12,11,7,0,8,10
"Mason Plumlee",27,632,99,181,0.547,0,1,0,99,180,0.55,47,76,0.618,50,123,70,19,29,46,77
"Mike Miller",20,151,9,23,0.391,8,20,0.4,1,3,0.333,2,2,1,3,36,22,2,0,13,9
"Nikola Jokic",73,2038,494,856,0.577,45,139,0.324,449,717,0.626,188,228,0.825,212,503,358,60,55,171,214
"Roy Hibbert",6,11,2,3,0.667,0,0,NA,2,3,0.667,0,0,NA,1,1,1,0,2,1,3
"Will Barton",60,1705,295,667,0.442,87,235,0.37,208,432,0.481,143,190,0.753,58,201,206,48,28,97,110
"Wilson Chandler",71,2197,433,940,0.461,110,326,0.337,323,614,0.526,141,194,0.727,104,356,143,52,30,114,172
"Alexis Ajinca",39,584,89,178,0.5,0,4,0,89,174,0.511,29,40,0.725,46,131,12,20,22,31,77
"Anthony Davis",75,2708,770,1527,0.504,40,134,0.299,730,1393,0.524,519,647,0.802,174,712,157,94,167,181,168
"Axel Toupane",2,41,5,8,0.625,1,3,0.333,4,5,0.8,0,0,NA,0,1,0,1,1,0,5
"Cheick Diallo",17,199,36,76,0.474,0,0,NA,36,76,0.474,15,21,0.714,23,50,4,4,7,7,17
"Dante Cunningham",66,1649,174,359,0.485,71,181,0.392,103,178,0.579,16,27,0.593,56,221,36,39,28,28,100
"DeMarcus Cousins",17,574,142,314,0.452,36,96,0.375,106,218,0.486,94,121,0.777,38,174,66,25,19,62,75
"Donatas Motiejunas",34,479,57,138,0.413,11,47,0.234,46,91,0.505,25,49,0.51,26,75,34,18,11,31,55
"E'Twaun Moore",73,1820,283,619,0.457,77,208,0.37,206,411,0.501,57,74,0.77,33,119,164,50,32,62,131
"Jordan Crawford",19,442,105,218,0.482,37,95,0.389,68,123,0.553,20,26,0.769,4,30,57,11,2,25,30
"Jrue Holiday",67,2190,405,894,0.453,100,281,0.356,305,613,0.498,119,168,0.708,46,218,488,100,43,194,133
"Omer Asik",31,482,31,65,0.477,0,0,NA,31,65,0.477,23,39,0.59,48,115,15,5,10,14,51
"Quinn Cook",9,111,22,41,0.537,6,12,0.5,16,29,0.552,2,3,0.667,1,3,14,3,0,5,7
"Solomon Hill",80,2374,183,477,0.384,94,270,0.348,89,207,0.43,103,128,0.805,51,256,141,71,32,82,182
"Tim Frazier",65,1525,163,404,0.403,40,128,0.313,123,276,0.446,98,129,0.76,34,139,335,56,6,101,133
"A.J. Hammons",22,163,17,42,0.405,5,10,0.5,12,32,0.375,9,20,0.45,8,28,4,1,13,10,21
"DeAndre Liggins",1,25,3,6,0.5,0,1,0,3,5,0.6,2,3,0.667,3,4,0,2,0,0,3
"Devin Harris",65,1087,136,341,0.399,58,177,0.328,78,164,0.476,107,129,0.829,11,116,136,43,7,57,101
"Dirk Nowitzki",54,1424,296,678,0.437,79,209,0.378,217,469,0.463,98,112,0.875,23,330,82,30,38,51,113
"Dorian Finney-Smith",81,1642,124,333,0.372,56,191,0.293,68,142,0.479,46,61,0.754,55,166,67,52,25,45,125
"Dwight Powell",77,1333,194,377,0.515,21,74,0.284,173,303,0.571,107,141,0.759,94,213,49,61,39,34,135
"Harrison Barnes",79,2803,599,1280,0.468,78,222,0.351,521,1058,0.492,242,281,0.861,94,303,117,66,15,102,128
"J.J. Barea",35,771,142,343,0.414,53,148,0.358,89,195,0.456,44,51,0.863,9,75,193,14,1,63,30
"Jarrod Uthoff",9,115,16,38,0.421,3,9,0.333,13,29,0.448,5,7,0.714,8,14,9,2,4,3,8
"Nerlens Noel",22,483,77,134,0.575,0,0,NA,77,134,0.575,34,48,0.708,47,103,20,22,25,22,55
"Nicolas Brussino",54,521,52,141,0.369,29,95,0.305,23,46,0.5,17,22,0.773,26,69,47,17,8,26,43
"Salah Mejri",73,905,88,137,0.642,1,3,0.333,87,134,0.649,36,61,0.59,97,211,14,32,61,40,152
"Seth Curry",70,2029,338,703,0.481,137,322,0.425,201,381,0.528,85,100,0.85,25,153,188,79,7,92,126
"Wesley Matthews",73,2495,333,847,0.393,174,479,0.363,159,368,0.432,146,179,0.816,18,241,210,77,16,102,161
"Yogi Ferrell",36,1046,142,345,0.412,60,149,0.403,82,196,0.418,64,73,0.877,16,83,155,40,7,56,79
"Anthony Tolliver",65,1477,155,351,0.442,90,230,0.391,65,121,0.537,61,82,0.744,51,188,77,33,20,56,109
"Arron Afflalo",61,1580,185,420,0.44,62,151,0.411,123,269,0.457,83,93,0.892,9,116,78,21,7,42,104
"Ben McLemore",61,1176,180,419,0.43,65,170,0.382,115,249,0.462,70,93,0.753,19,111,51,29,6,62,108
"Buddy Hield",25,727,142,296,0.48,59,138,0.428,83,158,0.525,35,43,0.814,16,87,44,20,2,53,34
"Darren Collison",68,2063,340,714,0.476,73,175,0.417,267,539,0.495,147,171,0.86,23,130,312,67,9,114,119
"Garrett Temple",65,1728,183,432,0.424,82,220,0.373,101,212,0.476,58,74,0.784,32,151,169,84,28,78,141
"Georgios Papagiannis",22,355,56,102,0.549,0,2,0,56,100,0.56,12,14,0.857,24,62,20,3,17,24,44
"Kosta Koufos",71,1419,216,392,0.551,0,1,0,216,391,0.552,38,62,0.613,118,285,47,36,48,61,172
"Langston Galloway",19,375,42,104,0.404,19,40,0.475,23,64,0.359,11,12,0.917,7,28,28,6,1,18,20
"Malachi Richardson",22,198,28,68,0.412,8,28,0.286,20,40,0.5,15,19,0.789,3,20,11,5,1,8,23
"Rudy Gay",30,1013,201,442,0.455,42,113,0.372,159,329,0.483,118,138,0.855,35,155,82,44,26,74,79
"Skal Labissiere",33,612,117,218,0.537,3,8,0.375,114,210,0.543,52,74,0.703,51,111,27,16,13,37,64
"Ty Lawson",69,1732,237,522,0.454,34,118,0.288,203,404,0.502,173,217,0.797,44,135,335,74,6,129,119
"Tyreke Evans",14,314,59,143,0.413,21,48,0.438,38,95,0.4,24,34,0.706,7,44,33,12,5,22,19
"Willie Cauley-Stein",75,1421,255,481,0.53,0,2,0,255,479,0.532,101,151,0.669,85,255,80,53,45,69,147
"Adreian Payne",18,135,23,54,0.426,3,15,0.2,20,39,0.513,14,19,0.737,9,24,7,8,7,8,32
"Andrew Wiggins",82,3048,709,1570,0.452,103,289,0.356,606,1281,0.473,412,542,0.76,103,226,189,82,30,187,183
"Brandon Rush",47,1030,70,187,0.374,44,114,0.386,26,73,0.356,13,18,0.722,16,83,45,22,23,28,42
"Cole Aldrich",62,531,45,86,0.523,0,0,NA,45,86,0.523,15,22,0.682,51,107,25,25,23,17,85
"Gorgui Dieng",82,2653,332,661,0.502,16,43,0.372,316,618,0.511,136,167,0.814,188,459,158,88,95,107,254
"Jordan Hill",7,47,5,13,0.385,0,0,NA,5,13,0.385,2,2,1,8,6,0,1,0,4,9
"Karl-Anthony Towns",82,3030,802,1479,0.542,101,275,0.367,701,1204,0.582,356,428,0.832,296,711,220,57,103,212,241
"Kris Dunn",78,1333,118,313,0.377,21,73,0.288,97,240,0.404,36,59,0.61,24,142,188,78,36,89,178
"Nemanja Bjelica",65,1190,151,356,0.424,56,177,0.316,95,179,0.531,45,61,0.738,57,187,79,40,20,59,154
"Omri Casspi",13,222,19,39,0.487,2,10,0.2,17,29,0.586,5,8,0.625,6,14,11,13,2,10,24
"Ricky Rubio",75,2469,261,650,0.402,60,196,0.306,201,454,0.443,254,285,0.891,68,237,682,128,10,195,202
"Shabazz Muhammad",78,1516,288,598,0.482,49,146,0.336,239,452,0.529,147,190,0.774,84,136,35,22,6,56,86
"Tyus Jones",60,774,75,181,0.414,26,73,0.356,49,108,0.454,33,43,0.767,10,57,156,47,5,38,50
"Zach LaVine",47,1749,326,710,0.459,120,310,0.387,206,400,0.515,117,140,0.836,18,141,139,41,10,85,104
"Brandon Ingram",79,2279,276,686,0.402,55,187,0.294,221,499,0.443,133,214,0.621,60,257,166,50,36,116,158
"Corey Brewer",24,358,53,121,0.438,5,24,0.208,48,97,0.495,18,24,0.75,11,41,36,24,8,19,29
"D'Angelo Russell",63,1811,351,867,0.405,135,384,0.352,216,483,0.447,147,188,0.782,31,191,303,87,16,176,130
"David Nwaba",20,397,47,81,0.58,1,5,0.2,46,76,0.605,25,39,0.641,16,46,14,13,7,11,36
"Ivica Zubac",38,609,126,238,0.529,0,3,0,126,235,0.536,32,49,0.653,41,118,30,14,33,30,66
"Jordan Clarkson",82,2397,477,1071,0.445,117,356,0.329,360,715,0.503,134,168,0.798,49,197,213,88,8,164,150
"Julius Randle",74,2132,377,773,0.488,17,63,0.27,360,710,0.507,204,282,0.723,151,485,264,49,37,173,248
"Larry Nance Jr.",63,1442,190,361,0.526,10,36,0.278,180,325,0.554,59,80,0.738,120,249,96,82,40,56,149
"Luol Deng",56,1486,164,424,0.387,51,165,0.309,113,259,0.436,46,63,0.73,63,232,74,48,20,43,61
"Metta World Peace",25,160,19,68,0.279,9,38,0.237,10,30,0.333,10,16,0.625,5,15,11,9,2,7,18
"Nick Young",60,1556,272,633,0.43,170,421,0.404,102,212,0.481,77,90,0.856,25,112,58,37,14,36,137
"Tarik Black",67,1091,150,294,0.51,1,2,0.5,149,292,0.51,82,109,0.752,143,199,39,30,44,58,173
"Thomas Robinson",48,560,105,196,0.536,0,1,0,105,195,0.538,31,66,0.47,84,139,31,26,9,46,76
"Timofey Mozgov",54,1104,169,328,0.515,0,1,0,169,327,0.517,63,78,0.808,104,160,43,16,31,72,133
"Tyler Ennis",22,392,65,144,0.451,21,54,0.389,44,90,0.489,19,22,0.864,6,21,52,20,2,21,29
"Alan Williams",47,708,138,267,0.517,0,1,0,138,266,0.519,70,112,0.625,94,198,23,27,32,37,125
"Alex Len",77,1560,230,463,0.497,3,12,0.25,227,451,0.503,150,208,0.721,156,354,44,37,98,102,242
"Brandon Knight",54,1140,209,525,0.398,45,139,0.324,164,386,0.425,132,154,0.857,25,93,130,27,5,89,87
"Derrick Jones",32,545,68,121,0.562,3,11,0.273,65,110,0.591,29,41,0.707,39,40,12,14,13,13,63
"Devin Booker",78,2730,606,1431,0.423,147,405,0.363,459,1026,0.447,367,441,0.832,46,203,268,72,21,241,242
"Dragan Bender",43,574,57,161,0.354,28,101,0.277,29,60,0.483,4,11,0.364,23,80,23,10,22,32,74
"Elijah Millsap",2,23,1,7,0.143,0,2,0,1,5,0.2,1,2,0.5,3,3,1,0,0,2,2
"Eric Bledsoe",66,2176,449,1034,0.434,104,310,0.335,345,724,0.477,388,458,0.847,52,268,418,92,31,223,164
"Jared Dudley",64,1362,157,346,0.454,77,203,0.379,80,143,0.559,43,65,0.662,31,194,121,42,16,72,154
"Leandro Barbosa",67,963,172,392,0.439,35,98,0.357,137,294,0.466,40,45,0.889,15,89,81,31,8,48,82
"Marquese Chriss",82,1743,284,632,0.449,72,224,0.321,212,408,0.52,113,181,0.624,96,252,60,67,70,108,263
"Ronnie Price",14,134,4,24,0.167,3,17,0.176,1,7,0.143,3,4,0.75,3,8,18,11,1,3,14
"T.J. Warren",66,2048,403,814,0.495,26,98,0.265,377,716,0.527,119,154,0.773,125,214,75,76,39,57,175
"Tyler Ulis",61,1123,184,437,0.421,21,79,0.266,163,358,0.455,55,71,0.775,20,75,226,48,5,77,73
"Tyson Chandler",47,1298,153,228,0.671,0,0,NA,153,228,0.671,91,124,0.734,154,385,30,33,24,67,126
