"player","team","position","height","weight","age","experience","college","salary","games","minutes","points","points3","points2","points1"
"Joe Ingles","UTA","SF",80,226,29,2,"",2250000,82,1972,581,123,81,50
"Joe Johnson","UTA","SF",79,240,35,15,"University of Arkansas",1.1e+07,78,1843,715,106,167,63
"Joel Bolomboy","UTA","PF",81,235,23,0,"Weber State University",6e+05,12,53,22,1,8,3
"Raul Neto","UTA","PG",73,179,24,1,"",937800,40,346,100,10,31,8
"Rodney Hood","UTA","SG",80,206,24,2,"Duke University",1406520,59,1593,748,114,158,90
"Rudy Gobert","UTA","C",85,245,24,3,"",2121288,81,2744,1137,0,413,311
"Shelvin Mack","UTA","PG",75,203,26,5,"Butler University",2433334,55,1205,430,37,133,53
"Trey Lyles","UTA","PF",82,234,21,1,"University of Kentucky",2340600,71,1158,440,65,94,57
"Alex Abrines","OKC","SG",78,190,23,0,"",5994764,68,1055,406,94,40,44
"Andre Roberson","OKC","SF",79,210,25,3,"University of Colorado",2183072,79,2376,522,45,170,47
"Domantas Sabonis","OKC","PF",83,240,20,0,"Gonzaga University",2440200,81,1632,479,51,141,44
"Doug McDermott","OKC","SF",80,225,25,2,"Creighton University",2483040,22,430,145,21,35,12
"Enes Kanter","OKC","C",83,245,24,5,"",17145838,72,1533,1033,5,397,224
"Jerami Grant","OKC","SF",80,210,22,2,"Syracuse University",980431,78,1490,421,43,103,86
"Josh Huestis","OKC","PF",79,230,25,1,"Stanford University",1191480,2,31,14,2,4,0
"Kyle Singler","OKC","SF",80,228,28,4,"Duke University",4837500,32,385,88,7,27,13
"Nick Collison","OKC","PF",82,255,36,12,"University of Kansas",3750000,20,128,33,0,14,5
"Norris Cole","OKC","PG",74,175,28,5,"Cleveland State University",247991,13,125,43,3,13,8
"Russell Westbrook","OKC","PG",75,200,28,8,"University of California, Los Angeles",26540100,81,2802,2558,200,624,710
"Semaj Christon","OKC","PG",75,190,24,0,"Xavier University",543471,64,973,183,12,65,17
"Steven Adams","OKC","C",84,255,23,3,"University of Pittsburgh",3140517,80,2389,905,0,374,157
"Taj Gibson","OKC","PF",81,225,31,7,"University of Southern California",8950000,23,487,207,1,88,28
"Victor Oladipo","OKC","SG",76,210,24,3,"Indiana University",6552960,67,2222,1067,127,285,116
"Andrew Harrison","MEM","PG",78,213,22,0,"University of Kentucky",945000,72,1474,425,43,74,148
"Brandan Wright","MEM","PF",82,210,29,8,"University of North Carolina",5700000,28,447,189,0,83,23
"Chandler Parsons","MEM","SF",82,230,28,5,"University of Florida",22116750,34,675,210,25,50,35
"Deyonta Davis","MEM","C",83,237,20,0,"Michigan State University",1369229,36,238,58,0,24,10
"James Ennis","MEM","SF",79,210,26,2,"California State University, Long Beach",2898000,64,1501,429,51,95,86
"JaMychal Green","MEM","PF",81,227,26,2,"University of Alabama",980431,77,2101,689,55,195,134
"Jarell Martin","MEM","PF",82,239,22,1,"Louisiana State University",1286160,42,558,165,9,49,40
"Marc Gasol","MEM","C",85,255,32,8,"",21165675,74,2531,1446,104,428,278
"Mike Conley","MEM","PG",73,175,29,9,"Ohio State University",26540100,69,2292,1415,171,293,316
"Tony Allen","MEM","SG",76,213,35,12,"Oklahoma State University",5505618,71,1914,643,15,259,80
"Troy Daniels","MEM","SG",76,205,25,3,"Virginia Commonwealth University",3332940,67,1183,551,138,47,43
"Vince Carter","MEM","SF",78,220,40,18,"University of North Carolina",4264057,73,1799,586,112,81,88
"Wade Baldwin","MEM","PG",76,202,20,0,"Vanderbilt University",1793760,33,405,106,3,33,31
"Wayne Selden","MEM","SG",77,230,22,0,"University of Kansas",83119,11,189,55,3,17,12
"Zach Randolph","MEM","PF",81,260,35,15,"Michigan State University",10361445,73,1786,1028,21,412,141
"Al-Farouq Aminu","POR","SF",81,220,26,6,"Wake Forest University",7680965,61,1773,532,70,113,96
"Allen Crabbe","POR","SG",78,210,24,3,"University of California",18500000,79,2254,845,134,169,105
"C.J. McCollum","POR","SG",76,200,25,3,"Lehigh University",3219579,80,2796,1837,185,507,268
"Damian Lillard","POR","PG",75,195,26,4,"Weber State University",24328425,75,2694,2024,214,447,488
"Ed Davis","POR","PF",82,240,27,6,"University of North Carolina",6666667,46,789,200,0,75,50
"Evan Turner","POR","SF",79,220,28,6,"Ohio State University",16393443,65,1658,586,31,204,85
"Jake Layman","POR","SF",81,210,22,0,"University of Maryland",6e+05,35,249,78,13,13,13
"Jusuf Nurkic","POR","C",84,280,22,2,"",1921320,20,584,304,0,120,64
"Maurice Harkless","POR","SF",81,215,23,4,"St. John's University",8988764,77,2223,773,68,246,77
"Meyers Leonard","POR","PF",85,245,24,4,"University of Illinois at Urbana-Champaign",9213484,74,1222,401,74,72,35
"Noah Vonleh","POR","PF",82,240,21,2,"Indiana University",2751360,74,1265,327,7,123,60
"Pat Connaughton","POR","SG",77,206,24,1,"University of Notre Dame",874636,39,316,98,17,20,7
"Shabazz Napier","POR","PG",73,175,25,2,"University of Connecticut",1350120,53,512,218,34,39,38
"Tim Quarterman","POR","SG",78,195,22,0,"Louisiana State University",543471,16,80,31,5,8,0
"Danilo Gallinari","DEN","SF",82,225,28,7,"",15050000,63,2134,1145,126,209,349
"Darrell Arthur","DEN","PF",81,235,28,7,"University of Kansas",8070175,41,639,262,53,42,19
"Emmanuel Mudiay","DEN","PG",77,200,20,1,"",3241800,55,1406,603,56,152,131
"Gary Harris","DEN","SG",76,210,22,2,"Michigan State University",1655880,57,1782,851,107,213,104
"Jamal Murray","DEN","SG",76,207,19,0,"University of Kentucky",3210840,82,1764,811,115,180,106
"Jameer Nelson","DEN","PG",72,190,34,12,"Saint Joseph's University",4540525,75,2045,687,106,162,45
"Juan Hernangomez","DEN","PF",81,230,21,0,"",1987440,62,842,305,46,55,57
"Kenneth Faried","DEN","PF",80,228,27,5,"Morehead State University",12078652,61,1296,587,0,228,131
"Malik Beasley","DEN","SG",77,196,20,0,"Florida State University",1627320,22,165,83,9,24,8
"Mason Plumlee","DEN","C",83,245,26,3,"Duke University",2328530,27,632,245,0,99,47
"Mike Miller","DEN","SF",80,218,36,16,"University of Florida",3500000,20,151,28,8,1,2
"Nikola Jokic","DEN","C",82,250,21,1,"",1358500,73,2038,1221,45,449,188
"Roy Hibbert","DEN","C",86,270,30,8,"Georgetown University",5e+06,6,11,4,0,2,0
"Will Barton","DEN","SG",78,175,26,4,"University of Memphis",3533333,60,1705,820,87,208,143
"Wilson Chandler","DEN","SF",80,225,29,8,"DePaul University",11200000,71,2197,1117,110,323,141
"Alexis Ajinca","NOP","C",86,248,28,6,"",4600000,39,584,207,0,89,29
"Anthony Davis","NOP","C",82,253,23,4,"University of Kentucky",22116750,75,2708,2099,40,730,519
"Axel Toupane","NOP","SF",79,197,24,1,"",20580,2,41,11,1,4,0
"Cheick Diallo","NOP","PF",81,220,20,0,"University of Kansas",543471,17,199,87,0,36,15
"Dante Cunningham","NOP","SF",80,230,29,7,"Villanova University",2978250,66,1649,435,71,103,16
"DeMarcus Cousins","NOP","C",83,270,26,6,"University of Kentucky",16957900,17,574,414,36,106,94
"Donatas Motiejunas","NOP","PF",84,222,26,4,"",576724,34,479,150,11,46,25
"E'Twaun Moore","NOP","SG",76,191,27,5,"Purdue University",8081363,73,1820,700,77,206,57
"Jordan Crawford","NOP","SG",76,195,28,4,"Xavier University",173094,19,442,267,37,68,20
"Jrue Holiday","NOP","PG",76,205,26,7,"University of California, Los Angeles",11286518,67,2190,1029,100,305,119
"Omer Asik","NOP","C",84,255,30,6,"",9904494,31,482,85,0,31,23
"Quinn Cook","NOP","PG",74,184,23,0,"Duke University",63938,9,111,52,6,16,2
"Solomon Hill","NOP","SF",79,225,25,3,"University of Arizona",11241218,80,2374,563,94,89,103
"Tim Frazier","NOP","PG",73,170,26,2,"Pennsylvania State University",2090000,65,1525,464,40,123,98
"A.J. Hammons","DAL","C",84,260,24,0,"Purdue University",650000,22,163,48,5,12,9
"DeAndre Liggins","DAL","SG",78,209,28,3,"University of Kentucky",1015696,1,25,8,0,3,2
"Devin Harris","DAL","PG",75,192,33,12,"University of Wisconsin",4228000,65,1087,437,58,78,107
"Dirk Nowitzki","DAL","PF",84,245,38,18,"",2.5e+07,54,1424,769,79,217,98
"Dorian Finney-Smith","DAL","PF",80,220,23,0,"University of Florida",543471,81,1642,350,56,68,46
"Dwight Powell","DAL","C",83,240,25,2,"Stanford University",8375000,77,1333,516,21,173,107
"Harrison Barnes","DAL","PF",80,210,24,4,"University of North Carolina",22116750,79,2803,1518,78,521,242
"J.J. Barea","DAL","PG",72,185,32,10,"Northeastern University",4096950,35,771,381,53,89,44
"Jarrod Uthoff","DAL","PF",81,221,23,0,"University of Iowa",63938,9,115,40,3,13,5
"Nerlens Noel","DAL","C",83,228,22,2,"University of Kentucky",4384490,22,483,188,0,77,34
"Nicolas Brussino","DAL","SF",79,195,23,0,"",543471,54,521,150,29,23,17
"Salah Mejri","DAL","C",85,245,30,1,"",874636,73,905,213,1,87,36
"Seth Curry","DAL","PG",74,185,26,3,"Duke University",2898000,70,2029,898,137,201,85
"Wesley Matthews","DAL","SG",77,220,30,7,"Marquette University",17100000,73,2495,986,174,159,146
"Yogi Ferrell","DAL","PG",72,180,23,0,"Indiana University",207798,36,1046,408,60,82,64
"Anthony Tolliver","SAC","PF",80,240,31,8,"Creighton University",8e+06,65,1477,461,90,65,61
"Arron Afflalo","SAC","SG",77,210,31,9,"University of California, Los Angeles",12500000,61,1580,515,62,123,83
"Ben McLemore","SAC","SG",77,195,23,3,"University of Kansas",4008882,61,1176,495,65,115,70
"Buddy Hield","SAC","SG",76,214,23,0,"University of Oklahoma",3517200,25,727,378,59,83,35
"Darren Collison","SAC","PG",72,175,29,7,"University of California, Los Angeles",5229454,68,2063,900,73,267,147
"Garrett Temple","SAC","SG",78,195,30,6,"Louisiana State University",8e+06,65,1728,506,82,101,58
"Georgios Papagiannis","SAC","C",85,240,19,0,"",2202240,22,355,124,0,56,12
"Kosta Koufos","SAC","C",84,265,27,8,"Ohio State University",8046500,71,1419,470,0,216,38
"Langston Galloway","SAC","PG",74,200,25,2,"Saint Joseph's University",5200000,19,375,114,19,23,11
"Malachi Richardson","SAC","SG",78,205,21,0,"Syracuse University",1439880,22,198,79,8,20,15
"Rudy Gay","SAC","SF",80,230,30,10,"University of Connecticut",13333333,30,1013,562,42,159,118
"Skal Labissiere","SAC","PF",83,225,20,0,"University of Kentucky",1188840,33,612,289,3,114,52
"Ty Lawson","SAC","PG",71,195,29,7,"University of North Carolina",1315448,69,1732,681,34,203,173
"Tyreke Evans","SAC","SF",78,220,27,7,"University of Memphis",10661286,14,314,163,21,38,24
"Willie Cauley-Stein","SAC","C",84,240,23,1,"University of Kentucky",3551160,75,1421,611,0,255,101
"Adreian Payne","MIN","PF",82,237,25,2,"Michigan State University",2022240,18,135,63,3,20,14
"Andrew Wiggins","MIN","SF",80,199,21,2,"University of Kansas",6006600,82,3048,1933,103,606,412
"Brandon Rush","MIN","SG",78,220,31,8,"University of Kansas",3500000,47,1030,197,44,26,13
"Cole Aldrich","MIN","C",83,250,28,6,"University of Kansas",7643979,62,531,105,0,45,15
"Gorgui Dieng","MIN","PF",83,241,27,3,"University of Louisville",2348783,82,2653,816,16,316,136
"Jordan Hill","MIN","C",82,235,29,7,"University of Arizona",3911380,7,47,12,0,5,2
"Karl-Anthony Towns","MIN","C",84,244,21,1,"University of Kentucky",5960160,82,3030,2061,101,701,356
"Kris Dunn","MIN","PG",76,210,22,0,"Providence College",3872520,78,1333,293,21,97,36
"Nemanja Bjelica","MIN","PF",82,240,28,1,"",3800000,65,1190,403,56,95,45
"Omri Casspi","MIN","SF",81,225,28,7,"",138414,13,222,45,2,17,5
"Ricky Rubio","MIN","PG",76,194,26,5,"",13550000,75,2469,836,60,201,254
"Shabazz Muhammad","MIN","SF",78,223,24,3,"University of California, Los Angeles",3046299,78,1516,772,49,239,147
"Tyus Jones","MIN","PG",74,195,20,1,"Duke University",1339680,60,774,209,26,49,33
"Zach LaVine","MIN","SG",77,189,21,2,"University of California, Los Angeles",2240880,47,1749,889,120,206,117
"Brandon Ingram","LAL","SF",81,190,19,0,"Duke University",5281680,79,2279,740,55,221,133
"Corey Brewer","LAL","SF",81,186,30,9,"University of Florida",7600000,24,358,129,5,48,18
"D'Angelo Russell","LAL","PG",77,195,20,1,"Ohio State University",5332800,63,1811,984,135,216,147
"David Nwaba","LAL","SG",76,209,24,0,"California Polytechnic State University, San Luis Obispo",73528,20,397,120,1,46,25
"Ivica Zubac","LAL","C",85,265,19,0,"",1034956,38,609,284,0,126,32
"Jordan Clarkson","LAL","SG",77,194,24,2,"University of Missouri",12500000,82,2397,1205,117,360,134
"Julius Randle","LAL","PF",81,250,22,2,"University of Kentucky",3267120,74,2132,975,17,360,204
"Larry Nance Jr.","LAL","PF",81,230,24,1,"University of Wyoming",1207680,63,1442,449,10,180,59
"Luol Deng","LAL","SF",81,220,31,12,"Duke University",1.8e+07,56,1486,425,51,113,46
"Metta World Peace","LAL","SF",78,260,37,16,"St. John's University",1551659,25,160,57,9,10,10
"Nick Young","LAL","SG",79,210,31,9,"University of Southern California",5443918,60,1556,791,170,102,77
"Tarik Black","LAL","C",81,250,25,2,"University of Kansas",6191000,67,1091,383,1,149,82
"Thomas Robinson","LAL","PF",82,237,25,4,"University of Kansas",1050961,48,560,241,0,105,31
"Timofey Mozgov","LAL","C",85,275,30,6,"",1.6e+07,54,1104,401,0,169,63
"Tyler Ennis","LAL","PG",75,194,22,2,"Syracuse University",1733880,22,392,170,21,44,19
"Alan Williams","PHO","C",80,260,24,1,"University of California, Santa Barbara",874636,47,708,346,0,138,70
"Alex Len","PHO","C",85,260,23,3,"University of Maryland",4823621,77,1560,613,3,227,150
"Brandon Knight","PHO","SG",75,189,25,5,"University of Kentucky",12606250,54,1140,595,45,164,132
"Derrick Jones","PHO","SF",79,190,19,0,"University of Nevada, Las Vegas",543471,32,545,168,3,65,29
"Devin Booker","PHO","SG",78,206,20,1,"University of Kentucky",2223600,78,2730,1726,147,459,367
"Dragan Bender","PHO","PF",85,225,19,0,"",4276320,43,574,146,28,29,4
"Elijah Millsap","PHO","SG",78,225,29,2,"University of Alabama at Birmingham",23069,2,23,3,0,1,1
"Eric Bledsoe","PHO","PG",73,190,27,6,"University of Kentucky",1.4e+07,66,2176,1390,104,345,388
"Jared Dudley","PHO","PF",79,225,31,9,"Boston College",10470000,64,1362,434,77,80,43
"Leandro Barbosa","PHO","SG",75,194,34,13,"",4e+06,67,963,419,35,137,40
"Marquese Chriss","PHO","PF",82,233,19,0,"University of Washington",2941440,82,1743,753,72,212,113
"Ronnie Price","PHO","PG",74,190,33,11,"Utah Valley State College",282595,14,134,14,3,1,3
"T.J. Warren","PHO","SF",80,230,23,2,"North Carolina State University",2128920,66,2048,951,26,377,119
"Tyler Ulis","PHO","PG",70,150,21,0,"University of Kentucky",918369,61,1123,444,21,163,55
"Tyson Chandler","PHO","C",85,240,34,15,"",12415000,47,1298,397,0,153,91
