Player,Team,Position,Experience,Salary,Rank,Age,GP,GS,MIN,FGM,FGA,Points3,Points3_atts,Points2,Points2_atts,FTM,FTA,OREB,DREB,AST,STL,BLK,TO
Klay Thompson,GSW,SG,5,16663575,1,26,78,78,2649,644,1376,268,647,376,729,186,218,49,236,160,66,40,128
Matt Barnes,GSW,SF,13,383351,14,36,20,5,410,38,90,18,52,20,38,20,23,15,76,45,12,9,24
Patrick McCaw,GSW,SG,R,543471,9,21,71,20,1074,106,245,41,123,65,122,29,37,22,79,77,32,15,36
Shaun Livingston,GSW,PG,11,5782450,6,31,76,3,1345,173,316,1,3,172,313,42,60,28,123,139,38,20,61
Stephen Curry,GSW,PG,7,12112359,2,28,79,79,2638,675,1443,324,789,351,654,325,362,61,292,523,143,17,239
Zaza Pachulia,GSW,C,13,2898000,7,32,70,70,1268,164,307,0,2,164,305,98,126,140,270,132,59,33,88
Bryn Forbes,SAS,SG,R,543471,14,23,36,0,285,36,99,17,53,19,46,5,6,2,21,23,1,0,11
Danny Green,SAS,SG,7,1.00E+07,3,29,68,68,1807,176,449,118,311,58,138,27,32,31,193,124,71,58,76
David Lee,SAS,PF,11,1551659,7,33,79,10,1477,248,420,0,0,248,420,80,113,148,292,124,31,40,82
Davis Bertans,SAS,PF,R,543471,12,24,67,6,808,103,234,69,173,34,61,28,34,22,77,46,20,28,32
Dejounte Murray,SAS,PG,R,1180080,13,20,38,8,322,50,116,9,23,41,93,21,30,6,36,48,8,6,38
Dewayne Dedmon,SAS,C,3,2898000,9,27,76,37,1330,161,259,0,0,161,259,65,93,129,366,44,37,61,61
Joel Anthony,SAS,C,9,165952,16,34,19,0,122,10,16,0,0,10,16,5,8,8,23,3,2,6,4
Jonathon Simmons,SAS,SG,1,874636,8,27,78,8,1392,177,421,30,102,147,319,99,132,20,140,126,47,25,76
Kawhi Leonard,SAS,SF,5,17638063,1,25,74,74,2474,636,1311,147,386,489,925,469,533,80,350,260,132,55,154
Kyle Anderson,SAS,SG,2,1192080,11,23,72,14,1020,93,209,15,40,78,169,45,57,33,175,91,51,26,39
LaMarcus Aldridge,SAS,PF,10,20575005,2,31,72,72,2335,500,1049,23,56,477,993,220,271,174,350,139,46,89,98
Manu Ginobili,SAS,SG,14,1.40E+07,10,39,69,0,1291,171,439,89,227,82,212,86,107,28,129,183,82,16,96
Patty Mills,SAS,PG,7,3578948,4,28,80,8,1754,273,622,147,356,126,266,66,80,24,118,280,65,3,101
Pau Gasol,SAS,C,15,15500000,5,36,64,39,1627,303,604,56,104,247,500,130,184,107,394,150,24,70,81
Tony Parker,SAS,PG,15,14445313,6,34,63,63,1587,265,569,23,69,242,500,85,117,9,104,285,33,2,89
Bobby Brown,HOU,PG,2,680534,15,32,25,0,123,23,60,14,35,9,25,2,2,0,6,14,1,0,5
Chinanu Onuaku,HOU,C,R,543471,16,20,5,1,52,5,7,0,0,5,7,4,4,2,8,3,3,1,4
Clint Capela,HOU,C,2,1296240,6,22,65,59,1551,362,563,0,0,362,563,94,177,178,348,64,34,80,87
Eric Gordon,HOU,SG,8,12385364,3,28,75,15,2323,412,1016,246,661,166,355,147,175,29,172,188,48,40,121
Isaiah Taylor,HOU,PG,R,255000,17,22,4,0,52,1,7,0,2,1,5,1,2,1,2,3,1,1,0
James Harden,HOU,PG,7,26540100,1,27,81,81,2947,674,1533,262,756,412,777,746,881,95,564,906,120,37,464
Kyle Wiltjer,HOU,PF,R,543471,18,24,14,0,44,4,14,4,13,0,1,1,2,4,6,2,3,1,5
Lou Williams,HOU,SG,11,7.00E+06,11,30,23,0,591,102,264,41,129,61,135,98,113,12,58,56,15,9,40
Montrezl Harrell,HOU,C,1,1.00E+06,9,23,58,14,1064,225,345,1,7,224,338,76,121,81,138,64,20,42,44
Patrick Beverley,HOU,SG,4,6.00E+06,5,28,67,67,2058,228,543,110,288,118,255,73,95,95,299,281,99,25,100
Ryan Anderson,HOU,PF,8,18735364,4,28,72,72,2116,323,773,204,506,119,267,129,150,112,218,68,32,14,55
Sam Dekker,HOU,SF,1,1720560,7,22,77,2,1419,203,429,60,187,143,242,38,68,94,190,76,38,21,41
Trevor Ariza,HOU,SF,12,7806971,2,31,80,80,2773,326,798,191,555,135,243,93,126,54,405,175,147,20,74
Troy Williams,HOU,SF,R,150000,14,22,6,3,139,22,44,8,21,14,23,6,7,9,15,6,3,1,6
Alan Anderson,LAC,SF,7,1315448,12,34,30,0,308,30,80,14,44,16,36,12,16,3,21,11,3,0,7
Austin Rivers,LAC,SG,4,1.10E+07,5,24,74,29,2054,323,731,111,299,212,432,132,191,20,141,204,48,10,115
Blake Griffin,LAC,PF,6,20140838,4,27,61,61,2076,479,971,38,113,441,858,320,421,111,385,300,58,23,142
Brandon Bass,LAC,PF,11,1551659,11,31,52,0,577,107,186,1,3,106,183,77,88,43,86,21,14,11,29
Brice Johnson,LAC,PF,R,1273920,15,22,3,0,9,2,7,0,0,2,7,0,0,1,2,1,2,1,1
Chris Paul,LAC,PG,11,22868828,6,31,61,61,1921,374,785,124,302,250,483,232,260,41,263,563,118,8,147
DeAndre Jordan,LAC,C,8,21165675,1,28,81,81,2570,412,577,0,2,412,575,205,425,297,817,96,52,135,116
Diamond Stone,LAC,C,R,543471,14,19,7,0,24,3,13,0,0,3,13,4,4,1,5,0,0,1,2
J.J. Redick,LAC,SG,10,7377500,2,32,78,78,2198,396,890,201,468,195,422,180,202,11,160,110,55,13,98
Jamal Crawford,LAC,SG,16,13253012,3,36,82,1,2157,359,869,116,322,243,547,174,203,17,112,213,59,14,134
Luc Mbah a Moute,LAC,SF,8,2203000,7,30,80,76,1787,191,378,43,110,148,268,59,87,47,127,39,81,35,47
Marreese Speights,LAC,C,8,1403611,9,29,82,2,1286,244,548,103,277,141,271,120,137,88,285,66,23,41,69
Paul Pierce,LAC,SF,18,3500000,13,39,25,7,277,28,70,15,43,13,27,10,13,1,47,10,4,5,16
Raymond Felton,LAC,PG,11,1551659,8,32,80,11,1700,221,514,46,144,175,370,50,64,33,184,191,67,22,83
Wesley Johnson,LAC,SF,6,5628000,10,29,68,3,810,73,200,29,118,44,82,11,17,26,155,23,29,30,18
Alec Burks,UTA,SG,5,10154495,12,25,42,0,653,99,248,25,76,74,172,60,78,17,103,30,18,5,35
Boris Diaw,UTA,PF,13,7.00E+06,7,34,73,33,1283,146,327,20,81,126,246,26,35,46,112,170,18,9,87
Dante Exum,UTA,PG,1,3940320,8,21,66,26,1228,155,364,44,149,111,215,58,73,30,102,112,21,12,80
Derrick Favors,UTA,PF,6,11050000,10,25,50,39,1186,203,417,3,10,200,407,67,109,92,213,56,45,40,60
George Hill,UTA,PG,8,8.00E+06,6,30,49,49,1544,289,606,94,233,195,373,157,196,23,144,203,50,11,85
Gordon Hayward,UTA,SF,6,16073140,2,26,73,73,2516,545,1156,149,374,396,782,362,429,49,344,252,73,20,140
Jeff Withey,UTA,C,3,1015696,13,26,51,1,432,55,103,0,1,55,102,36,48,52,69,7,16,32,14
Joe Ingles,UTA,SF,2,2250000,3,29,82,26,1972,204,451,123,279,81,172,50,68,23,237,224,96,8,107
Joe Johnson,UTA,SF,15,1.10E+07,4,35,78,14,1843,273,626,106,258,167,368,63,77,33,209,144,35,18,69
Joel Bolomboy,UTA,PF,R,6.00E+05,15,23,12,0,53,9,16,1,4,8,12,3,6,4,13,2,1,2,2
Raul Neto,UTA,PG,1,937800,14,24,40,0,346,41,91,10,31,31,60,8,9,4,26,34,21,5,15
Rodney Hood,UTA,SG,2,1406520,5,24,59,55,1593,272,666,114,306,158,360,90,115,16,186,96,39,11,65
Rudy Gobert,UTA,C,3,2121288,1,24,81,81,2744,413,623,0,1,413,622,311,476,314,721,97,49,214,148
Shelvin Mack,UTA,PG,5,2433334,9,26,55,9,1205,170,381,37,120,133,261,53,77,20,108,154,42,3,90
Trey Lyles,UTA,PF,1,2340600,11,21,71,4,1158,159,439,65,204,94,235,57,79,48,187,70,26,20,64
Alex Abrines,OKC,SG,R,5994764,8,23,68,6,1055,134,341,94,247,40,94,44,49,18,68,40,37,8,33
Andre Roberson,OKC,SF,3,2183072,3,25,79,79,2376,215,463,45,184,170,279,47,111,98,304,79,94,79,51
Domantas Sabonis,OKC,PF,R,2440200,5,20,81,66,1632,192,481,51,159,141,322,44,67,45,242,82,39,32,83
Doug McDermott,OKC,SF,2,2483040,13,25,22,1,430,56,124,21,58,35,66,12,17,6,43,13,2,1,6
Enes Kanter,OKC,C,5,17145838,6,24,72,0,1533,402,737,5,38,397,699,224,285,195,287,67,32,38,123
Jerami Grant,OKC,SF,2,980431,7,22,78,4,1490,146,311,43,114,103,197,86,139,38,161,46,33,75,41
Josh Huestis,OKC,PF,1,1191480,19,25,2,0,31,6,11,2,4,4,7,0,1,4,5,3,0,3,0
Kyle Singler,OKC,SF,4,4837500,14,28,32,2,385,34,83,7,37,27,46,13,17,8,40,9,7,5,11
Nick Collison,OKC,PF,12,3750000,16,36,20,0,128,14,23,0,1,14,22,5,8,9,21,12,2,2,4
Norris Cole,OKC,PG,5,247991,17,28,13,0,125,16,52,3,13,13,39,8,10,0,11,14,8,0,7
Russell Westbrook,OKC,PG,8,26540100,1,28,81,81,2802,824,1941,200,583,624,1358,710,840,137,727,840,133,31,438
Semaj Christon,OKC,PG,R,543471,9,24,64,1,973,77,223,12,63,65,160,17,31,19,69,130,28,6,43
Steven Adams,OKC,C,3,3140517,2,23,80,80,2389,374,655,0,1,374,654,157,257,282,333,86,88,78,146
Taj Gibson,OKC,PF,7,8950000,12,31,23,16,487,89,179,1,1,88,178,28,39,38,65,13,14,15,28
Victor Oladipo,OKC,SG,3,6552960,4,24,67,67,2222,412,932,127,352,285,580,116,154,39,252,176,78,21,119
Andrew Harrison,MEM,PG,R,945000,8,22,72,18,1474,117,360,43,156,74,204,148,194,23,113,198,54,20,85
Brandan Wright,MEM,PF,8,5700000,12,29,28,5,447,83,135,0,1,83,134,23,35,31,47,15,11,20,10
Chandler Parsons,MEM,SF,5,22116750,10,28,34,34,675,75,222,25,93,50,129,35,43,6,78,55,20,5,24
Deyonta Davis,MEM,C,R,1369229,16,20,36,0,238,24,47,0,0,24,47,10,18,20,40,2,3,17,8
James Ennis,MEM,SF,2,2898000,7,26,64,28,1501,146,321,51,137,95,184,86,110,69,190,64,46,19,59
JaMychal Green,MEM,PF,2,980431,3,26,77,75,2101,250,500,55,145,195,355,134,167,167,377,84,46,34,94
Jarell Martin,MEM,PF,1,1286160,11,22,42,3,558,58,151,9,25,49,126,40,50,42,120,8,17,9,28
Marc Gasol,MEM,C,8,21165675,1,32,74,74,2531,532,1160,104,268,428,892,278,332,60,402,338,67,99,166
Mike Conley,MEM,PG,9,26540100,2,29,69,68,2292,464,1009,171,419,293,590,316,368,31,211,433,92,19,156
Tony Allen,MEM,SG,12,5505618,4,35,71,66,1914,274,595,15,54,259,541,80,130,166,225,98,115,29,100
Troy Daniels,MEM,SG,3,3332940,9,25,67,3,1183,185,495,138,355,47,140,43,54,21,79,46,21,4,45
Vince Carter,MEM,SF,18,4264057,5,40,73,15,1799,193,490,112,296,81,194,88,115,36,191,133,60,36,50
Wade Baldwin,MEM,PG,R,1793760,14,20,33,1,405,36,115,3,22,33,93,31,37,11,35,61,18,7,40
Wayne Selden,MEM,SG,R,83119,17,22,11,2,189,20,50,3,21,17,29,12,18,1,10,12,4,1,9
Zach Randolph,MEM,PF,15,10361445,6,35,73,5,1786,433,964,21,94,412,870,141,193,182,416,122,38,10,99
Al-Farouq Aminu,POR,SF,6,7680965,5,26,61,25,1773,183,466,70,212,113,254,96,136,77,374,99,60,44,94
Allen Crabbe,POR,SG,3,18500000,3,24,79,7,2254,303,647,134,302,169,345,105,124,19,206,93,54,20,62
C.J. McCollum,POR,SG,3,3219579,1,25,80,80,2796,692,1441,185,440,507,1001,268,294,60,231,285,72,42,172
Damian Lillard,POR,PG,4,24328425,2,26,75,75,2694,661,1488,214,578,447,910,488,545,46,322,439,68,20,197
Ed Davis,POR,PF,6,6666667,10,27,46,12,789,75,142,0,0,75,142,50,81,96,147,27,15,22,37
Evan Turner,POR,SF,6,16393443,6,28,65,12,1658,235,552,31,118,204,434,85,103,36,211,205,53,24,100
Jake Layman,POR,SF,R,6.00E+05,14,22,35,1,249,26,89,13,51,13,38,13,17,6,18,11,9,3,11
Jusuf Nurkic,POR,C,2,1921320,11,22,20,19,584,120,236,0,1,120,235,64,97,65,142,63,25,38,62
Maurice Harkless,POR,SF,4,8988764,4,23,77,69,2223,314,624,68,194,246,430,77,124,125,216,89,85,70,85
Meyers Leonard,POR,PF,4,9213484,9,24,74,12,1222,146,378,74,213,72,165,35,40,27,209,71,13,28,35
Noah Vonleh,POR,PF,2,2751360,8,21,74,41,1265,130,270,7,20,123,250,60,94,131,256,31,30,27,64
Pat Connaughton,POR,SG,1,874636,13,24,39,1,316,37,72,17,33,20,39,7,9,10,42,28,6,2,17
Shabazz Napier,POR,PG,2,1350120,12,25,53,2,512,73,183,34,92,39,91,38,49,8,53,67,32,2,41
Tim Quarterman,POR,SG,R,543471,15,22,16,0,80,13,29,5,13,8,16,0,3,4,10,11,2,3,11
Danilo Gallinari,DEN,SF,7,15050000,2,28,63,63,2134,335,750,126,325,209,425,349,387,39,287,136,41,15,81
Darrell Arthur,DEN,PF,7,8070175,12,28,41,7,639,95,215,53,117,42,98,19,22,25,87,42,19,21,36
Emmanuel Mudiay,DEN,PG,1,3241800,8,20,55,41,1406,208,551,56,177,152,374,131,167,30,150,217,41,13,123
Gary Harris,DEN,SG,2,1655880,5,22,57,56,1782,320,636,107,255,213,381,104,134,48,130,164,71,8,76
Jamal Murray,DEN,SG,R,3210840,6,19,82,10,1764,295,729,115,344,180,385,106,120,41,173,170,53,24,113
Jameer Nelson,DEN,PG,12,4540525,3,34,75,39,2045,268,604,106,273,162,331,45,63,28,164,385,53,8,129
Juan Hernangomez,DEN,PF,R,1987440,10,21,62,9,842,101,223,46,112,55,111,57,76,43,144,29,29,12,31
Kenneth Faried,DEN,PF,5,12078652,9,27,61,34,1296,228,415,0,6,228,409,131,189,180,279,55,43,40,58
Malik Beasley,DEN,SG,R,1627320,14,20,22,1,165,33,73,9,28,24,45,8,10,5,12,11,7,0,8
Mason Plumlee,DEN,C,3,2328530,13,26,27,10,632,99,181,0,1,99,180,47,76,50,123,70,19,29,46
Mike Miller,DEN,SF,16,3500000,15,36,20,0,151,9,23,8,20,1,3,2,2,3,36,22,2,0,13
Nikola Jokic,DEN,C,1,1358500,4,21,73,59,2038,494,856,45,139,449,717,188,228,212,503,358,60,55,171
Roy Hibbert,DEN,C,8,5.00E+06,18,30,6,0,11,2,3,0,0,2,3,0,0,1,1,1,0,2,1
Will Barton,DEN,SG,4,3533333,7,26,60,19,1705,295,667,87,235,208,432,143,190,58,201,206,48,28,97
Wilson Chandler,DEN,SF,8,11200000,1,29,71,33,2197,433,940,110,326,323,614,141,194,104,356,143,52,30,114
Alexis Ajinca,NOP,C,6,4600000,10,28,39,15,584,89,178,0,4,89,174,29,40,46,131,12,20,22,31
Anthony Davis,NOP,C,4,22116750,1,23,75,75,2708,770,1527,40,134,730,1393,519,647,174,712,157,94,167,181
Axel Toupane,NOP,SF,1,20580,23,24,2,0,41,5,8,1,3,4,5,0,0,0,1,0,1,1,0
Cheick Diallo,NOP,PF,R,543471,16,20,17,0,199,36,76,0,0,36,76,15,21,23,50,4,4,7,7
Dante Cunningham,NOP,SF,7,2978250,5,29,66,35,1649,174,359,71,181,103,178,16,27,56,221,36,39,28,28
DeMarcus Cousins,NOP,C,6,16957900,11,26,17,17,574,142,314,36,96,106,218,94,121,38,174,66,25,19,62
Donatas Motiejunas,NOP,PF,4,576724,13,26,34,0,479,57,138,11,47,46,91,25,49,26,75,34,18,11,31
E'Twaun Moore,NOP,SG,5,8081363,4,27,73,22,1820,283,619,77,208,206,411,57,74,33,119,164,50,32,62
Jordan Crawford,NOP,SG,4,173094,15,28,19,0,442,105,218,37,95,68,123,20,26,4,30,57,11,2,25
Jrue Holiday,NOP,PG,7,11286518,3,26,67,61,2190,405,894,100,281,305,613,119,168,46,218,488,100,43,194
Omer Asik,NOP,C,6,9904494,12,30,31,19,482,31,65,0,0,31,65,23,39,48,115,15,5,10,14
Quinn Cook,NOP,PG,R,63938,20,23,9,0,111,22,41,6,12,16,29,2,3,1,3,14,3,0,5
Solomon Hill,NOP,SF,3,11241218,2,25,80,71,2374,183,477,94,270,89,207,103,128,51,256,141,71,32,82
Tim Frazier,NOP,PG,2,2090000,6,26,65,35,1525,163,404,40,128,123,276,98,129,34,139,335,56,6,101
A.J. Hammons,DAL,C,R,650000,17,24,22,0,163,17,42,5,10,12,32,9,20,8,28,4,1,13,10
DeAndre Liggins,DAL,SG,3,1015696,23,28,1,0,25,3,6,0,1,3,5,2,3,3,4,0,2,0,0
Devin Harris,DAL,PG,12,4228000,8,33,65,0,1087,136,341,58,177,78,164,107,129,11,116,136,43,7,57
Dirk Nowitzki,DAL,PF,18,2.50E+07,5,38,54,54,1424,296,678,79,209,217,469,98,112,23,330,82,30,38,51
Dorian Finney-Smith,DAL,PF,R,543471,4,23,81,35,1642,124,333,56,191,68,142,46,61,55,166,67,52,25,45
Dwight Powell,DAL,C,2,8375000,6,25,77,3,1333,194,377,21,74,173,303,107,141,94,213,49,61,39,34
Harrison Barnes,DAL,PF,4,22116750,1,24,79,79,2803,599,1280,78,222,521,1058,242,281,94,303,117,66,15,102
J.J. Barea,DAL,PG,10,4096950,11,32,35,6,771,142,343,53,148,89,195,44,51,9,75,193,14,1,63
Jarrod Uthoff,DAL,PF,R,63938,18,23,9,0,115,16,38,3,9,13,29,5,7,8,14,9,2,4,3
Nerlens Noel,DAL,C,2,4384490,15,22,22,12,483,77,134,0,0,77,134,34,48,47,103,20,22,25,22
Nicolas Brussino,DAL,SF,R,543471,14,23,54,2,521,52,141,29,95,23,46,17,22,26,69,47,17,8,26
Salah Mejri,DAL,C,1,874636,10,30,73,11,905,88,137,1,3,87,134,36,61,97,211,14,32,61,40
Seth Curry,DAL,PG,3,2898000,3,26,70,42,2029,338,703,137,322,201,381,85,100,25,153,188,79,7,92
Wesley Matthews,DAL,SG,7,17100000,2,30,73,73,2495,333,847,174,479,159,368,146,179,18,241,210,77,16,102
Yogi Ferrell,DAL,PG,R,207798,9,23,36,29,1046,142,345,60,149,82,196,64,73,16,83,155,40,7,56
Anthony Tolliver,SAC,PF,8,8.00E+06,6,31,65,9,1477,155,351,90,230,65,121,61,82,51,188,77,33,20,56
Arron Afflalo,SAC,SG,9,12500000,5,31,61,45,1580,185,420,62,151,123,269,83,93,9,116,78,21,7,42
Ben McLemore,SAC,SG,3,4008882,10,23,61,26,1176,180,419,65,170,115,249,70,93,19,111,51,29,6,62
Buddy Hield,SAC,SG,R,3517200,12,23,25,18,727,142,296,59,138,83,158,35,43,16,87,44,20,2,53
Darren Collison,SAC,PG,7,5229454,1,29,68,64,2063,340,714,73,175,267,539,147,171,23,130,312,67,9,114
Garrett Temple,SAC,SG,6,8.00E+06,4,30,65,21,1728,183,432,82,220,101,212,58,74,32,151,169,84,28,78
Georgios Papagiannis,SAC,C,R,2202240,16,19,22,0,355,56,102,0,2,56,100,12,14,24,62,20,3,17,24
Kosta Koufos,SAC,C,8,8046500,8,27,71,62,1419,216,392,0,1,216,391,38,62,118,285,47,36,48,61
Langston Galloway,SAC,PG,2,5200000,15,25,19,2,375,42,104,19,40,23,64,11,12,7,28,28,6,1,18
Malachi Richardson,SAC,SG,R,1439880,18,21,22,0,198,28,68,8,28,20,40,15,19,3,20,11,5,1,8
Rudy Gay,SAC,SF,10,13333333,11,30,30,30,1013,201,442,42,113,159,329,118,138,35,155,82,44,26,74
Skal Labissiere,SAC,PF,R,1188840,13,20,33,12,612,117,218,3,8,114,210,52,74,51,111,27,16,13,37
Ty Lawson,SAC,PG,7,1315448,3,29,69,24,1732,237,522,34,118,203,404,173,217,44,135,335,74,6,129
Tyreke Evans,SAC,SF,7,10661286,17,27,14,6,314,59,143,21,48,38,95,24,34,7,44,33,12,5,22
Willie Cauley-Stein,SAC,C,1,3551160,7,23,75,21,1421,255,481,0,2,255,479,101,151,85,255,80,53,45,69
Adreian Payne,MIN,PF,2,2022240,13,25,18,0,135,23,54,3,15,20,39,14,19,9,24,7,8,7,8
Andrew Wiggins,MIN,SF,2,6006600,1,21,82,82,3048,709,1570,103,289,606,1281,412,542,103,226,189,82,30,187
Brandon Rush,MIN,SG,8,3500000,9,31,47,33,1030,70,187,44,114,26,73,13,18,16,83,45,22,23,28
Cole Aldrich,MIN,C,6,7643979,11,28,62,0,531,45,86,0,0,45,86,15,22,51,107,25,25,23,17
Gorgui Dieng,MIN,PF,3,2348783,3,27,82,82,2653,332,661,16,43,316,618,136,167,188,459,158,88,95,107
Jordan Hill,MIN,C,7,3911380,15,29,7,0,47,5,13,0,0,5,13,2,2,8,6,0,1,0,4
Karl-Anthony Towns,MIN,C,1,5960160,2,21,82,82,3030,802,1479,101,275,701,1204,356,428,296,711,220,57,103,212
Kris Dunn,MIN,PG,R,3872520,7,22,78,7,1333,118,313,21,73,97,240,36,59,24,142,188,78,36,89
Nemanja Bjelica,MIN,PF,1,3800000,8,28,65,1,1190,151,356,56,177,95,179,45,61,57,187,79,40,20,59
Omri Casspi,MIN,SF,7,138414,12,28,13,0,222,19,39,2,10,17,29,5,8,6,14,11,13,2,10
Ricky Rubio,MIN,PG,5,13550000,4,26,75,75,2469,261,650,60,196,201,454,254,285,68,237,682,128,10,195
Shabazz Muhammad,MIN,SF,3,3046299,6,24,78,1,1516,288,598,49,146,239,452,147,190,84,136,35,22,6,56
Tyus Jones,MIN,PG,1,1339680,10,20,60,0,774,75,181,26,73,49,108,33,43,10,57,156,47,5,38
Zach LaVine,MIN,SG,2,2240880,5,21,47,47,1749,326,710,120,310,206,400,117,140,18,141,139,41,10,85
Brandon Ingram,LAL,SF,R,5281680,2,19,79,40,2279,276,686,55,187,221,499,133,214,60,257,166,50,36,116
Corey Brewer,LAL,SF,9,7600000,15,30,24,3,358,53,121,5,24,48,97,18,24,11,41,36,24,8,19
D'Angelo Russell,LAL,PG,1,5332800,4,20,63,60,1811,351,867,135,384,216,483,147,188,31,191,303,87,16,176
David Nwaba,LAL,SG,R,73528,13,24,20,2,397,47,81,1,5,46,76,25,39,16,46,14,13,7,11
Ivica Zubac,LAL,C,R,1034956,11,19,38,11,609,126,238,0,3,126,235,32,49,41,118,30,14,33,30
Jordan Clarkson,LAL,SG,2,12500000,1,24,82,19,2397,477,1071,117,356,360,715,134,168,49,197,213,88,8,164
Julius Randle,LAL,PF,2,3267120,3,22,74,73,2132,377,773,17,63,360,710,204,282,151,485,264,49,37,173
Larry Nance Jr.,LAL,PF,1,1207680,7,24,63,7,1442,190,361,10,36,180,325,59,80,120,249,96,82,40,56
Luol Deng,LAL,SF,12,1.80E+07,6,31,56,49,1486,164,424,51,165,113,259,46,63,63,232,74,48,20,43
Metta World Peace,LAL,SF,16,1551659,18,37,25,2,160,19,68,9,38,10,30,10,16,5,15,11,9,2,7
Nick Young,LAL,SG,9,5443918,5,31,60,60,1556,272,633,170,421,102,212,77,90,25,112,58,37,14,36
Tarik Black,LAL,C,2,6191000,10,25,67,16,1091,150,294,1,2,149,292,82,109,143,199,39,30,44,58
Thomas Robinson,LAL,PF,4,1050961,12,25,48,1,560,105,196,0,1,105,195,31,66,84,139,31,26,9,46
Timofey Mozgov,LAL,C,6,1.60E+07,9,30,54,52,1104,169,328,0,1,169,327,63,78,104,160,43,16,31,72
Tyler Ennis,LAL,PG,2,1733880,14,22,22,2,392,65,144,21,54,44,90,19,22,6,21,52,20,2,21
Alan Williams,PHO,C,1,874636,12,24,47,0,708,138,267,0,1,138,266,70,112,94,198,23,27,32,37
Alex Len,PHO,C,3,4823621,6,23,77,34,1560,230,463,3,12,227,451,150,208,156,354,44,37,98,102
Brandon Knight,PHO,SG,5,12606250,9,25,54,5,1140,209,525,45,139,164,386,132,154,25,93,130,27,5,89
Derrick Jones,PHO,SF,R,543471,14,19,32,8,545,68,121,3,11,65,110,29,41,39,40,12,14,13,13
Devin Booker,PHO,SG,1,2223600,1,20,78,78,2730,606,1431,147,405,459,1026,367,441,46,203,268,72,21,241
Dragan Bender,PHO,PF,R,4276320,13,19,43,0,574,57,161,28,101,29,60,4,11,23,80,23,10,22,32
Elijah Millsap,PHO,SG,2,23069,17,29,2,0,23,1,7,0,2,1,5,1,2,3,3,1,0,0,2
Eric Bledsoe,PHO,PG,6,1.40E+07,2,27,66,66,2176,449,1034,104,310,345,724,388,458,52,268,418,92,31,223
Jared Dudley,PHO,PF,9,10470000,7,31,64,7,1362,157,346,77,203,80,143,43,65,31,194,121,42,16,72
Leandro Barbosa,PHO,SG,13,4.00E+06,11,34,67,0,963,172,392,35,98,137,294,40,45,15,89,81,31,8,48
Marquese Chriss,PHO,PF,R,2941440,4,19,82,75,1743,284,632,72,224,212,408,113,181,96,252,60,67,70,108
Ronnie Price,PHO,PG,11,282595,15,33,14,0,134,4,24,3,17,1,7,3,4,3,8,18,11,1,3
T.J. Warren,PHO,SF,2,2128920,3,23,66,59,2048,403,814,26,98,377,716,119,154,125,214,75,76,39,57
Tyler Ulis,PHO,PG,R,918369,10,21,61,15,1123,184,437,21,79,163,358,55,71,20,75,226,48,5,77
Tyson Chandler,PHO,C,15,12415000,8,34,47,46,1298,153,228,0,0,153,228,91,124,154,385,30,33,24,67
